dataset;algoritmo;MV;recall;precision;version;correct_imp;similar_imp;wrong_imp
EV_Vehicles_4000;Pipeline;2000;0.101;1.0;2;202;0;0
EV_Vehicles_4000;Pipeline;4000;0.09225;1.0;2;369;0;0
EV_Vehicles_4000;Pipeline;8000;0.182125;0.9945392491467577;2;1457;0;8
EV_Vehicles_4000;Pipeline;12000;0.21266666666666667;0.7686746987951807;2;2506;46;768
EV_Vehicles_4000;Pipeline;16000;0.1469375;0.5833746898263027;2;2305;46;1679
EV_Vehicles_4000;Pipeline;20000;0.1431;0.4812510509500589;2;2349;513;3085
EV_Vehicles_4000;Pipeline_noRev;400;0.1625;0.9558823529411765;2;65;0;3
EV_Vehicles_4000;Pipeline_noRev;800;0.15;0.9448818897637795;2;117;3;7
EV_Vehicles_4000;Pipeline_noRev;1200;0.15666666666666668;0.9690721649484536;2;188;0;6
EV_Vehicles_4000;Pipeline_noRev;1600;0.16;0.9884169884169884;2;254;2;3
EV_Vehicles_4000;Pipeline_noRev;2000;0.1505;0.9555555555555556;2;301;0;14
EV_Vehicles_4000;Pipeline_noRev;4000;0.1575;0.9333333333333333;2;622;8;45
EV_Vehicles_4000;Pipeline_noRev;8000;0.25625;0.8523908523908524;2;2025;25;355
EV_Vehicles_4000;Pipeline_noRev;12000;0.25633333333333336;0.6565635005336179;2;3022;54;1609
EV_Vehicles_4000;Pipeline_noRev;16000;0.1498125;0.3777182477150961;2;2349;48;3949
EV_Vehicles_4000;Pipeline_noRev;20000;0.04539582948883558;0.28941176470588237;2;353;139;1208
EV_Vehicles_4000;Hybrid;400;0.1625;0.9558823529411765;2;65;0;3
EV_Vehicles_4000;Hybrid;800;0.15;0.9448818897637795;2;117;3;7
EV_Vehicles_4000;Hybrid;1200;0.15666666666666668;0.9690721649484536;2;188;0;6
EV_Vehicles_4000;Hybrid;1600;0.16;0.9884169884169884;2;254;2;3
EV_Vehicles_4000;Hybrid;2000;0.1505;0.9555555555555556;2;301;0;14
EV_Vehicles_4000;Hybrid;4000;0.1575;0.9333333333333333;2;622;8;45
EV_Vehicles_4000;Hybrid;8000;0.267875;0.891060291060291;2;2118;25;262
EV_Vehicles_4000;Hybrid;12000;0.27875;0.7139807897545357;2;3291;54;1340
EV_Vehicles_4000;Hybrid;16000;0.15775;0.39773085408131104;2;2467;57;3822
EV_Vehicles_4000;Hybrid;20000;0.04465768591991142;0.2847058823529412;2;355;129;1216
EV_Vehicles_4000;Baseline20;400;0.2575;0.9903846153846154;2;103;0;1
EV_Vehicles_4000;Baseline20;800;0.2475;0.99;2;198;0;2
EV_Vehicles_4000;Baseline20;1200;0.23416666666666666;0.9929328621908127;2;281;0;2
EV_Vehicles_4000;Baseline20;1600;0.2475;0.99;2;396;0;4
EV_Vehicles_4000;Baseline20;2000;0.2235;1.0;2;447;0;0
EV_Vehicles_4000;Baseline20;4000;0.26125;0.9118673647469459;2;1045;0;101
EV_Vehicles_4000;Baseline20;8000;0.30925;0.829644533869886;2;2454;20;508
EV_Vehicles_4000;Baseline20;12000;0.24625;0.6464668562677751;2;2911;44;1616
EV_Vehicles_4000;Baseline20;16000;0.111625;0.4701237167675704;2;1700;86;2013
EV_Vehicles_4000;Baseline20;20000;0.0012;0.014379868184541641;2;24;0;1645
EV_Vehicles_4000;Baseline;400;0.2625;1.0;3;105;0;0
EV_Vehicles_4000;Baseline;800;0.25625;0.9951456310679612;3;205;0;1
EV_Vehicles_4000;Baseline;1200;0.30333333333333334;0.978494623655914;3;364;0;8
EV_Vehicles_4000;Baseline;1600;0.336875;0.9908088235294118;3;539;0;5
EV_Vehicles_4000;Baseline;2000;0.368;0.9351969504447268;3;736;0;51
EV_Vehicles_4000;Baseline;4000;0.3105;0.8865096359743041;3;1242;0;159
EV_Vehicles_4000;Baseline;8000;0.336875;0.7798032407407407;3;2606;89;761
EV_Vehicles_4000;Baseline;12000;0.22541666666666665;0.7368564423862708;3;2692;13;966
EV_Vehicles_4000;Baseline;16000;0.0308125;0.25063548551093034;3;333;160;1474
EV_Vehicles_4000;Baseline;20000;0.0005;0.006269592476489028;3;10;0;1585
EV_Vehicles_4000;Pipeline;400;0.09;1.0;3;36;0;0
EV_Vehicles_4000;Pipeline;800;0.09625;1.0;3;77;0;0
EV_Vehicles_4000;Pipeline;1200;0.08666666666666667;1.0;3;104;0;0
EV_Vehicles_4000;Pipeline;1600;0.111875;1.0;3;179;0;0
EV_Vehicles_4000;Pipeline;2000;0.1105;1.0;3;221;0;0
EV_Vehicles_4000;Pipeline;4000;0.09925;1.0;3;397;0;0
EV_Vehicles_4000;Pipeline;8000;0.202;0.9835666463785758;3;1616;0;27
EV_Vehicles_4000;Pipeline;12000;0.21833333333333332;0.8304278922345484;3;2620;0;535
EV_Vehicles_4000;Pipeline;16000;0.1880625;0.589191306050519;3;2916;93;2098
EV_Vehicles_4000;Pipeline;20000;0.14915;0.5543579260360528;3;2915;68;2398
EV_Vehicles_4000;Pipeline_noRev;400;0.14;0.9655172413793104;3;56;0;2
EV_Vehicles_4000;Pipeline_noRev;800;0.13875;0.9736842105263158;3;111;0;3
EV_Vehicles_4000;Pipeline_noRev;1200;0.15083333333333335;0.9679144385026738;3;179;2;6
EV_Vehicles_4000;Pipeline_noRev;1600;0.169375;0.9713261648745519;3;270;1;8
EV_Vehicles_4000;Pipeline_noRev;2000;0.174;0.9666666666666667;3;348;0;12
EV_Vehicles_4000;Pipeline_noRev;4000;0.19225;0.952912019826518;3;765;4;38
EV_Vehicles_4000;Pipeline_noRev;8000;0.2155;0.798887859128823;3;1697;27;434
EV_Vehicles_4000;Pipeline_noRev;12000;0.22341666666666668;0.6639425458147598;3;2595;86;1357
EV_Vehicles_4000;Pipeline_noRev;16000;0.1544375;0.41197065688562856;3;2345;126;3527
EV_Vehicles_4000;Pipeline_noRev;20000;0.1512;0.4864082354833521;3;2988;36;3193
EV_Vehicles_4000;Hybrid;400;0.14;0.9655172413793104;3;56;0;2
EV_Vehicles_4000;Hybrid;800;0.13875;0.9736842105263158;3;111;0;3
EV_Vehicles_4000;Hybrid;1200;0.15083333333333335;0.9679144385026738;3;179;2;6
EV_Vehicles_4000;Hybrid;1600;0.169375;0.9713261648745519;3;270;1;8
EV_Vehicles_4000;Hybrid;2000;0.174;0.9666666666666667;3;348;0;12
EV_Vehicles_4000;Hybrid;4000;0.19225;0.952912019826518;3;765;4;38
EV_Vehicles_4000;Hybrid;8000;0.245375;0.9096385542168675;3;1936;27;195
EV_Vehicles_4000;Hybrid;12000;0.24016666666666667;0.7137196631996038;3;2796;86;1156
EV_Vehicles_4000;Hybrid;16000;0.1850625;0.4936645548516172;3;2836;125;3037
EV_Vehicles_4000;Hybrid;20000;0.1512;0.4864082354833521;3;2985;39;3193
EV_Vehicles_4000;Baseline20;400;0.23;0.989247311827957;3;92;0;1
EV_Vehicles_4000;Baseline20;800;0.225;0.994475138121547;3;180;0;1
EV_Vehicles_4000;Baseline20;1200;0.24666666666666667;0.9966329966329966;3;296;0;1
EV_Vehicles_4000;Baseline20;1600;0.318125;0.9902723735408561;3;509;0;5
EV_Vehicles_4000;Baseline20;2000;0.3315;0.9880774962742176;3;663;0;8
EV_Vehicles_4000;Baseline20;4000;0.3195;0.9122055674518201;3;1278;0;123
EV_Vehicles_4000;Baseline20;8000;0.34275;0.8788461538461538;3;2656;86;378
