;dataset;algoritmo;MV;metric1
115;MotoGP_REBUILT_3000;baseline;10800;0.85
116;MotoGP_REBUILT_3000;pipeline;14400;0.86
117;MotoGP_REBUILT_3000;baseline;14400;0.96
118;MotoGP_REBUILT_3000;pipeline;18000;0.84
119;MotoGP_REBUILT_3000;baseline;18000;0.98
120;NBA_3200;pipeline;384;0.82
121;NBA_3200;baseline;384;0.93
122;NBA_3200;pipeline;768;0.83
123;NBA_3200;baseline;768;0.93
124;NBA_3200;pipeline;1152;0.84
125;NBA_3200;baseline;1152;0.97
126;NBA_3200;pipeline;1536;0.85
127;NBA_3200;baseline;1536;0.99
128;NBA_3200;pipeline;1920;0.85
129;NBA_3200;baseline;1920;1.0
130;NBA_3200;pipeline;3840;0.87
131;NBA_3200;baseline;3840;0.94
132;NBA_3200;pipeline;7680;0.9
133;NBA_3200;baseline;7680;0.93
134;NBA_3200;pipeline;11520;0.93
135;NBA_3200;baseline;11520;0.89
136;NBA_3200;pipeline;15360;0.9
137;NBA_3200;baseline;15360;0.94
138;NBA_3200;pipeline;19200;0.88
139;NBA_3200;baseline;19200;0.98
140;superstore_4500;pipeline;495;0.44
141;superstore_4500;baseline;495;1.0
142;superstore_4500;pipeline;990;0.43
143;superstore_4500;baseline;990;1.0
144;superstore_4500;pipeline;1485;0.52
145;superstore_4500;baseline;1485;1.0
146;superstore_4500;pipeline;1980;0.56
147;superstore_4500;baseline;1980;1.0
148;superstore_4500;pipeline;2475;0.53
149;superstore_4500;baseline;2475;1.0
150;superstore_4500;pipeline;4950;0.68
151;superstore_4500;baseline;4950;1.0
152;superstore_4500;pipeline;9900;0.79
153;superstore_4500;baseline;9900;1.0
154;superstore_4500;pipeline;14850;0.83
155;superstore_4500;baseline;14850;1.0
156;superstore_4500;pipeline;19800;0.84
157;superstore_4500;baseline;19800;0.93
158;superstore_4500;pipeline;24750;0.75
159;superstore_4500;baseline;24750;0.78
160;US_Presidents_3754;pipeline;375;0.91
161;US_Presidents_3754;baseline;375;0.91
162;US_Presidents_3754;pipeline;751;0.92
163;US_Presidents_3754;baseline;751;0.92
164;US_Presidents_3754;pipeline;1126;0.91
165;US_Presidents_3754;baseline;1126;0.94
166;US_Presidents_3754;pipeline;1502;0.9
167;US_Presidents_3754;baseline;1502;0.93
168;US_Presidents_3754;pipeline;1877;0.91
169;US_Presidents_3754;baseline;1877;0.94
170;US_Presidents_3754;pipeline;3754;0.9
171;US_Presidents_3754;baseline;3754;0.96
172;US_Presidents_3754;pipeline;7508;0.92
173;US_Presidents_3754;baseline;7508;0.92
174;US_Presidents_3754;pipeline;11262;0.93
175;US_Presidents_3754;baseline;11262;0.92
176;US_Presidents_3754;pipeline;15016;0.92
177;US_Presidents_3754;baseline;15016;0.89
178;US_Presidents_3754;pipeline;18770;0.9
179;US_Presidents_3754;baseline;18770;0.93
180;cars;pipeline;37;0.87
181;cars;baseline;37;0.87
182;cars;pipeline;73;0.91
183;cars;baseline;73;0.89
184;cars;pipeline;110;0.86
185;cars;baseline;110;0.88
186;cars;pipeline;146;0.86
187;cars;baseline;146;0.81
188;cars;pipeline;183;0.87
189;cars;baseline;183;0.86
190;cars;pipeline;365;0.84
191;cars;baseline;365;0.83
192;cars;pipeline;731;0.81
193;cars;baseline;731;0.74
194;cars;pipeline;1096;0.8
195;cars;baseline;1096;0.77
196;cars;pipeline;1462;0.73
197;cars;baseline;1462;0.86
198;cars;pipeline;1827;0.59
199;cars;baseline;1827;1.0
200;police;pipeline;198;0.07
201;police;baseline;198;0.32
202;police;pipeline;397;0.07
203;police;baseline;397;0.52
204;police;pipeline;595;0.16
205;police;baseline;595;0.58
206;police;pipeline;793;0.19
207;police;baseline;793;0.61
208;police;pipeline;992;0.24
209;police;baseline;992;0.66
210;police;pipeline;1984;0.3
211;police;baseline;1984;0.71
212;police;pipeline;3967;0.46
213;police;baseline;3967;0.86
214;police;pipeline;5951;0.6
215;police;baseline;5951;0.97
216;police;pipeline;7934;0.7
217;police;baseline;7934;1.0
218;police;pipeline;9918;0.82
219;police;baseline;9918;1.0
220;restaurant;pipeline;52;0.38
221;restaurant;baseline;52;0.5
222;restaurant;pipeline;104;0.4
223;restaurant;baseline;104;0.66
224;restaurant;pipeline;156;0.44
225;restaurant;baseline;156;0.84
226;restaurant;pipeline;207;0.5
227;restaurant;baseline;207;0.79
228;restaurant;pipeline;259;0.44
229;restaurant;baseline;259;0.72
230;restaurant;pipeline;518;0.58
231;restaurant;baseline;518;0.84
232;restaurant;pipeline;1037;0.7
233;restaurant;baseline;1037;0.89
234;restaurant;pipeline;1555;0.71
235;restaurant;baseline;1555;1.0
236;restaurant;pipeline;2074;0.81
237;restaurant;baseline;2074;1.0
238;restaurant;pipeline;2592;0.86
239;restaurant;baseline;2592;1.0
240;IoT_Telemetry3000;pipeline;240;0.86
241;IoT_Telemetry3000;baseline;240;1.0
242;IoT_Telemetry3000;pipeline;480;0.89
243;IoT_Telemetry3000;baseline;480;1.0
244;IoT_Telemetry3000;pipeline;720;0.88
245;IoT_Telemetry3000;baseline;720;1.0
246;IoT_Telemetry3000;pipeline;960;0.89
247;IoT_Telemetry3000;baseline;960;1.0
248;IoT_Telemetry3000;pipeline;1200;0.89
249;IoT_Telemetry3000;baseline;1200;1.0
250;IoT_Telemetry3000;pipeline;2400;0.89
251;IoT_Telemetry3000;baseline;2400;1.0
252;IoT_Telemetry3000;pipeline;4800;0.94
253;IoT_Telemetry3000;baseline;4800;1.0
254;IoT_Telemetry3000;pipeline;7200;0.91
255;IoT_Telemetry3000;baseline;7200;1.0
256;IoT_Telemetry3000;pipeline;9600;0.92
257;IoT_Telemetry3000;baseline;9600;1.0
258;IoT_Telemetry3000;pipeline;12000;0.91
259;IoT_Telemetry3000;baseline;12000;1.0
