Snohomish;Everett;WA;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;?
Benton;?;?;2023;?;ID.4;?;?;0;16.0
?;Seattle;?;?;?;?;?;?;?;?
Spokane;Liberty Lake;?;2022;?;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;4.0
?;Kennewick;WA;2015;?;?;?;Clean Alternative Fuel Vehicle Eligible;38;8.0
King;?;?;2021;?;?;Plug-in Hybrid Electric Vehicle (PHEV);?;?;45.0
King;Issaquah;WA;?;BMW;X5;?;Clean Alternative Fuel Vehicle Eligible;?;41.0
?;Bainbridge Island;?;?;?;530E;?;?;16;?
?;?;?;2019;?;?;?;?;?;31.0
?;?;?;?;?;PRIUS PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25;?
Thurston;Olympia;?;?;?;?;?;Clean Alternative Fuel Vehicle Eligible;32;22.0
?;Seattle;?;2021;BMW;?;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22;43.0
?;?;WA;2023;?;?;?;Eligibility unknown as battery range has not been researched;?;?
?;Snohomish;WA;?;FORD;?;Battery Electric Vehicle (BEV);?;?;?
?;?;?;2019;TESLA;MODEL 3;Battery Electric Vehicle (BEV);?;?;6.0
?;Edmonds;?;2022;?;XC40;?;?;?;?
?;?;WA;?;?;?;?;?;?;?
?;Seattle;WA;2018;NISSAN;?;Battery Electric Vehicle (BEV);?;?;?
Snohomish;Snohomish;WA;?;NISSAN;?;?;Eligibility unknown as battery range has not been researched;0;?
?;?;?;2021;TESLA;MODEL Y;Battery Electric Vehicle (BEV);?;?;?
King;?;WA;2017;?;?;?;Clean Alternative Fuel Vehicle Eligible;210;?
King;?;?;2021;?;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;?
King;Woodinville;WA;?;?;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;?
Spokane;?;?;?;CHEVROLET;?;Plug-in Hybrid Electric Vehicle (PHEV);?;38;?
?;Tacoma;?;?;FORD;?;?;?;?;27.0
?;Edmonds;WA;2018;?;?;Battery Electric Vehicle (BEV);?;215;21.0
King;Kirkland;?;2023;TESLA;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;45.0
?;Snohomish;?;?;?;?;Battery Electric Vehicle (BEV);?;220;1.0
Thurston;Tumwater;WA;?;TESLA;MODEL 3;?;Clean Alternative Fuel Vehicle Eligible;215;22.0
?;?;WA;?;HONDA;?;?;?;47;?
Snohomish;Lake Stevens;WA;2020;KIA;?;?;Clean Alternative Fuel Vehicle Eligible;239;?
Grant;Moses Lake;WA;2022;?;E-TRON;Battery Electric Vehicle (BEV);?;?;13.0
?;Woodinville;?;?;TESLA;?;?;Eligibility unknown as battery range has not been researched;?;?
?;?;?;2023;MITSUBISHI;OUTLANDER;?;?;?;24.0
?;?;WA;2019;?;?;?;?;?;?
King;?;?;2019;TESLA;?;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;?;41.0
Lewis;?;?;2022;TESLA;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;19.0
?;?;?;?;TESLA;?;Battery Electric Vehicle (BEV);?;208;32.0
?;?;?;2020;BMW;?;?;Clean Alternative Fuel Vehicle Eligible;?;?
?;?;WA;?;?;?;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;75;34.0
?;?;?;2021;?;MODEL 3;?;Eligibility unknown as battery range has not been researched;?;?
King;Bellevue;WA;2023;TESLA;MODEL Y;?;?;?;41.0
Benton;Richland;?;?;VOLKSWAGEN;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;8.0
?;?;WA;2020;TESLA;MODEL Y;Battery Electric Vehicle (BEV);?;?;6.0
King;?;?;2023;?;MODEL 3;?;?;?;41.0
King;Kent;?;2019;?;?;?;?;26;33.0
King;Enumclaw;?;?;TESLA;MODEL Y;?;?;0;?
King;?;WA;?;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;151;34.0
Kitsap;?;?;2023;TESLA;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;26.0
?;Camano Island;WA;?;CHEVROLET;?;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;238;10.0
?;?;?;?;?;BOLT EV;?;?;238;5.0
Snohomish;Bothell;?;2019;?;MODEL 3;?;Clean Alternative Fuel Vehicle Eligible;?;?
King;Seattle;?;?;?;MODEL 3;?;?;?;?
?;Kent;?;?;TESLA;MODEL 3;Battery Electric Vehicle (BEV);?;?;?
Kitsap;Bainbridge Island;WA;?;?;NIRO;?;Eligibility unknown as battery range has not been researched;?;?
?;?;WA;?;TESLA;?;Battery Electric Vehicle (BEV);?;238;?
King;?;?;2023;?;XC40;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;?
?;Seattle;WA;2021;FORD;MUSTANG MACH-E;Battery Electric Vehicle (BEV);?;0;?
Clark;Vancouver;?;?;CHRYSLER;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32;17.0
?;?;?;2019;?;?;Battery Electric Vehicle (BEV);?;?;29.0
King;Redmond;WA;2017;?;LEAF;Battery Electric Vehicle (BEV);?;107;48.0
Skagit;Anacortes;?;2023;?;?;?;Eligibility unknown as battery range has not been researched;?;40.0
Lewis;Vader;WA;?;CHEVROLET;?;?;Clean Alternative Fuel Vehicle Eligible;?;?
?;Mount Vernon;?;?;CHEVROLET;?;Battery Electric Vehicle (BEV);?;?;10.0
King;?;WA;?;KIA;NIRO;?;Not eligible due to low battery range;26;?
?;Freeland;WA;2023;?;?;?;Eligibility unknown as battery range has not been researched;0;?
Benton;?;WA;2022;TESLA;?;?;Eligibility unknown as battery range has not been researched;0;8.0
King;Seattle;WA;2012;TOYOTA;?;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;?;36.0
Benton;Richland;WA;2019;?;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;?;8.0
King;Seattle;WA;2021;TESLA;MODEL Y;Battery Electric Vehicle (BEV);?;0;36.0
?;?;?;2022;TESLA;?;Battery Electric Vehicle (BEV);?;0;49.0
King;?;WA;?;BMW;I3;?;Clean Alternative Fuel Vehicle Eligible;?;41.0
?;Issaquah;WA;?;TESLA;MODEL 3;?;?;?;5.0
King;Bellevue;?;2022;TESLA;?;Battery Electric Vehicle (BEV);?;?;41.0
?;Bellevue;?;2019;?;?;?;Clean Alternative Fuel Vehicle Eligible;?;48.0
?;Lake Stevens;WA;?;BMW;?;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22;?
?;Sammamish;?;2023;?;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;?
Clark;La Center;?;2021;?;MUSTANG MACH-E;?;?;0;?
Clallam;Port Angeles;WA;2019;TOYOTA;PRIUS PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;?;24.0
Clark;Vancouver;?;?;?;LEAF;?;?;84;49.0
Spokane;?;?;?;?;?;Battery Electric Vehicle (BEV);?;210;6.0
King;Kirkland;?;2018;TESLA;MODEL 3;?;?;?;?
?;?;WA;2021;TESLA;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;?
?;Longbranch;?;2020;?;?;Battery Electric Vehicle (BEV);?;322;26.0
Pierce;Edgewood;?;2019;TESLA;MODEL 3;?;Clean Alternative Fuel Vehicle Eligible;?;31.0
?;Seattle;WA;2021;?;?;?;Eligibility unknown as battery range has not been researched;0;?
King;Seattle;?;2017;?;BOLT EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;238;?
King;?;?;2023;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;5.0
?;?;WA;?;TESLA;?;?;Eligibility unknown as battery range has not been researched;?;45.0
?;?;WA;2021;BMW;?;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;?;23.0
King;?;WA;?;?;BOLT EUV;?;Eligibility unknown as battery range has not been researched;?;?
?;?;?;?;?;BOLT EV;?;Eligibility unknown as battery range has not been researched;?;22.0
King;Renton;WA;?;?;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;150;?
?;Sedro-Woolley;?;2021;FORD;MUSTANG MACH-E;?;?;0;39.0
?;?;WA;2018;TESLA;?;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;?;11.0
?;Seattle;WA;2021;?;MODEL Y;Battery Electric Vehicle (BEV);?;?;36.0
?;?;?;?;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;?;44.0
?;?;?;2018;TESLA;?;?;?;?;?
King;?;WA;2021;?;?;?;Eligibility unknown as battery range has not been researched;0;?
?;?;?;2020;CHRYSLER;?;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;?;?
King;?;?;?;BMW;I4;Battery Electric Vehicle (BEV);?;?;?
Chelan;?;WA;?;?;F-150;?;Eligibility unknown as battery range has not been researched;?;?
King;Issaquah;?;?;?;?;?;?;?;?
King;?;?;?;TESLA;MODEL S;?;?;?;32.0
King;?;WA;2021;TESLA;MODEL Y;Battery Electric Vehicle (BEV);?;0;5.0
?;?;WA;?;TESLA;MODEL S;Battery Electric Vehicle (BEV);?;0;41.0
?;?;?;2018;TOYOTA;PRIUS PRIME;Plug-in Hybrid Electric Vehicle (PHEV);?;25;?
?;Redmond;WA;?;TESLA;MODEL Y;Battery Electric Vehicle (BEV);?;?;?
Pierce;?;WA;?;FORD;?;?;Not eligible due to low battery range;21;?
Skamania;Carson;WA;?;CHEVROLET;?;?;?;53;14.0
?;?;?;?;AUDI;E-TRON;?;?;?;?
King;?;WA;2021;TESLA;?;?;?;?;?
?;Graham;WA;?;KIA;?;?;Clean Alternative Fuel Vehicle Eligible;33;2.0
?;?;?;2020;?;MODEL 3;?;Clean Alternative Fuel Vehicle Eligible;?;?
Kitsap;?;WA;2023;?;?;?;?;0;?
King;?;?;2022;?;MUSTANG MACH-E;Battery Electric Vehicle (BEV);?;?;?
King;Seattle;?;?;NISSAN;LEAF;?;?;?;?
Kittitas;?;WA;2019;NISSAN;LEAF;Battery Electric Vehicle (BEV);?;150;13.0
?;University Place;WA;?;?;?;?;Eligibility unknown as battery range has not been researched;?;28.0
?;?;?;?;?;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;?
?;Oak Harbor;?;2019;CHEVROLET;?;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;238;10.0
?;Enumclaw;WA;2022;?;?;?;Eligibility unknown as battery range has not been researched;?;31.0
Thurston;?;?;?;KIA;EV6;Battery Electric Vehicle (BEV);?;?;22.0
King;?;WA;?;?;MODEL 3;Battery Electric Vehicle (BEV);?;0;?
King;?;WA;?;?;MODEL 3;?;Eligibility unknown as battery range has not been researched;?;?
