riga;nome attributo;valore da imputare;valore imputato
2806;position;2;2
1119;category;MotoGP;MotoGP
2382;year;2020;?
1210;country;ES;ES
1030;position;3;2
2106;position;4;3
1768;number;58.0;?
2889;country;ES;ES
685;number;15.0;?
1892;country;US;US
2132;position;3;3
2504;number;5.0;?
2696;position;4;4
1803;number;44.0;?
2086;position;4;?
2054;year;2006;?
1302;country;DE;DE
1424;year;2012;?
658;circuit_name;Sachsenring;?
1306;category;MotoGP;MotoGP
1631;position;4;3
2886;number;54.0;?
1782;team_name;Pons HP 40;?
2412;bike_name;Aprilia;?
1895;rider;2428;2428
1686;shortname;ITA;?
2784;position;1;2
2142;country;PT;PT
755;rider;2473;2473
75;team_name;Repsol Honda Team;?
1083;year;2019;?
739;points;13;?
2086;points;13;?
2909;number;54.0;?
629;team_name;Estrella Galicia 00;?
991;circuit_name;Ricardo Tormo;?
489;rider;2094;?
2065;rider;2488;2488
2948;year;2015;?
275;country;IT;IT
1777;year;2013;?
2629;rider;2058;2058
731;bike_name;Yamaha;?
2997;number;23.0;?
1104;circuit_name;Sachsenring;?
495;points;20;?
444;rider;2008;2008
2510;year;2017;?
1455;year;2020;?
18;shortname;CAT;CAT
1878;shortname;CZE;?
2031;category;MotoGP;?
2791;points;16;?
2771;country;IT;IT
2741;team_name;SANTANDER Consumer GASGAS;?
2658;points;13;?
400;team_name;Red Bull KTM GP 125;?
1582;rider;2202;2202
2094;shortname;NED;?
1668;year;2010;?
2203;bike_name;Aprilia;?
2945;category;Moto2;?
1475;bike_name;Yamaha;?
1293;number;41.0;?
364;rider_name;Rabat Tito;Rabat Tito
36;bike_name;Honda;Honda
893;year;2013;?
2767;category;250cc;?
1692;category;Moto3;?
203;shortname;NED;NED
803;team_name;Platinum Bay Real Estate;?
2236;number;80.0;?
695;rider_name;Marquez Marc;Marquez Marc
1617;country;PT;PT
1910;points;13;?
1958;country;IT;IT
2060;country;GB;GB
1628;year;2020;?
1842;country;JP;JP
914;number;20.0;?
2573;rider_name;Koyama Tomoyoshi;Koyama Tomoyoshi
851;points;16;?
1262;number;60.0;?
1577;year;2018;?
1715;bike_name;KTM;?
2759;number;30.0;?
1529;shortname;ARA;?
348;bike_name;Honda;?
709;position;3;2
594;rider;2058;2058
976;points;25;?
1493;number;27.0;?
2666;rider_name;Vazquez Efren;Vazquez Efren
662;team_name;Sudmetal Schedl GP Racing;?
210;position;2;1
853;number;40.0;?
787;rider_name;Di Giannantonio Fabio;Di Giannantonio Fabio
1599;bike_name;Mahindra;?
2074;country;IT;IT
636;country;AU;AU
435;points;13;?
460;rider_name;Luthi Thomas;Luthi Thomas
2022;year;2017;?
2295;year;2009;?
2337;team_name;Movistar Yamaha MotoGP;?
2751;points;11;?
1675;bike_name;Kalex;?
1189;team_name;Bancaja Aspar Team;?
1256;bike_name;Yamaha;?
1345;country;ES;ES
1393;country;ES;ES
2682;year;2008;?
877;country;IT;IT
2291;rider_name;Aegerter Dominique;Aegerter Dominique
636;rider_name;Miller Jack;Miller Jack
1679;year;2013;?
1497;shortname;QAT;?
75;position;1;1
800;team_name;Rivacold Snipers Team;?
2843;points;11;?
2890;bike_name;KTM;?
2824;rider;2068;2068
295;points;11;?
2951;country;ES;ES
1531;number;26.0;?
2600;rider_name;Nakagami Takaaki;Nakagami Takaaki
374;rider;2037;2037
2022;category;Moto2;?
273;team_name;Red Bull KTM Ajo;?
527;rider_name;Terol Nicolas;Terol Nicolas
1982;bike_name;Derbi;?
2185;circuit_name;Phillip Island;?
1307;rider;2037;2037
1553;year;2018;?
1352;bike_name;Kalex;?
772;year;2017;?
2304;circuit_name;Silverstone;?
2096;bike_name;Yamaha;?
647;circuit_name;Aragon;?
1357;year;2016;?
2345;shortname;CAT;?
270;year;2019;?
971;shortname;SPA;?
54;shortname;CAT;CAT
1405;country;SM;SM
1595;bike_name;KTM;?
2310;points;20;?
2490;shortname;JPN;?
1759;shortname;JPN;?
636;bike_name;Ducati;?
802;bike_name;Honda;?
2707;rider_name;Edwards Colin;?
1626;category;MotoGP;?
1256;position;1;1
1067;team_name;Ducati Marlboro Team;?
1696;country;ES;ES
884;team_name;Emmi - Caffe Latte;?
2657;country;IT;IT
765;shortname;ARA;?
1491;category;MotoGP;?
917;points;25;?
2029;number;4.0;?
40;position;1;2
859;rider;1762;1762
2270;number;26.0;?
101;country;ES;JP
2357;points;20;?
2606;rider;2065;2065
1685;rider_name;Debon Alex;Debon Alex
1557;circuit_name;Sepang;?
2368;year;2011;?
2928;circuit_name;Donington Park;?
489;points;13;?
2223;rider;2004;2004
1236;year;2005;?
2547;points;25;?
462;circuit_name;Silverstone;?
1531;rider;2015;?
1283;circuit_name;Le Mans;?
2139;bike_name;Honda;?
733;country;IT;IT
1026;country;IT;IT
2611;points;8;?
2709;team_name;Master Aspar;?
2227;position;4;3
1174;bike_name;Yamaha;?
655;bike_name;Suter;?
2124;country;FI;FI
624;number;39.0;?
1329;country;HU;HU
2342;team_name;Bancaja Aspar;?
593;team_name;Monster Energy Yamaha MotoGP;?
277;year;2014;?
2245;number;55.0;?
2240;circuit_name;Sachsenring;?
89;country;IT;IT
107;shortname;POR;POR
1243;bike_name;Honda;?
1217;category;Moto3;?
1245;country;ES;ES
270;number;9.0;?
1917;position;3;3
934;points;20;?
969;points;20;?
2820;rider;2621;2621
25;circuit_name;Ricardo Tormo;?
204;year;2009;?
10;category;MotoGP;MotoGP
28;shortname;ITA;ITA
1796;rider;2080;2080
907;position;5;5
1186;number;42.0;?
1404;points;25;?
2375;position;5;5
707;country;ES;ES
1518;shortname;GER;?
1348;number;44.0;?
2339;circuit_name;Losail;?
884;rider;2075;2075
471;country;AR;AR
2264;year;2012;?
1798;bike_name;KTM;?
1144;circuit_name;Ricardo Tormo;?
591;rider;2037;2037
591;shortname;POR;?
868;year;2014;?
2710;year;2013;?
1487;circuit_name;Buriram;?
1590;year;2020;?
2176;number;73.0;?
2859;position;1;2
2656;rider;2520;2520
1790;bike_name;Honda;?
1041;number;12.0;?
2426;circuit_name;Sachsenring;?
2939;bike_name;Yamaha;?
1551;rider_name;Vinales Maverick;Vinales Maverick
168;team_name;Red Bull KTM Ajo;?
1940;rider;2286;2286
1130;position;2;3
1521;position;1;2
145;shortname;QAT;QAT
1335;country;FI;FI
1728;circuit_name;Brno;?
2246;country;ES;ES
173;shortname;EMI;RSM
979;position;2;2
2245;bike_name;Aprilia;?
493;position;1;1
2950;points;13;?
437;team_name;Bancaja Aspar;?
2025;circuit_name;Aragon;?
925;shortname;JPN;?
882;shortname;NED;?
470;points;20;?
906;category;Moto2;?
288;country;MY;MY
568;year;2017;?
2406;rider_name;Granado Eric;Granado Eric
128;points;16;13
1691;number;99.0;?
1492;rider;2338;2338
930;rider_name;Ferrari Matteo;Ferrari Matteo
1198;points;20;?
1602;year;2011;?
2634;rider;2093;2093
1731;year;2019;?
1667;category;Moto2;?
831;rider;2689;2689
1850;year;2008;?
2911;shortname;GER;?
1877;team_name;Repsol Honda Team;?
885;country;IT;IT
1223;rider;2553;2553
1088;points;16;?
49;number;6.0;6.0
775;team_name;Mapfre Aspar Team;?
2276;country;ES;ES
245;year;2015;?
1587;number;14.0;?
1955;number;96.0;?
649;rider_name;Canet Aron;Canet Aron
2560;category;125cc;?
954;circuit_name;Spielberg;?
1001;team_name;Estrella Galicia 00;?
1057;team_name;Totti Top Sport - NGS;?
913;number;93.0;?
1644;circuit_name;Rio Hondo;?
707;points;25;?
1037;number;75.0;?
358;bike_name;Honda;Honda
