Zimbabwe;?;1990;?;?;Mar;1989;?;1;?
USA;?;?;?;MD-80;?;1982;?;?;2
USA;?;1998;?;?;?;?;North America;3;?
?;?;1983;GE;?;?;1981;?;3;?
USA;?;?;PW;?;?;1969;North America;?;6
?;?;2011;GE;?;?;2009;Africa;?;?
Portugal;?;1970;PW;DC-8;Apr;1969;Europe;1;1
?;TAROM Romanian Air Transport;2001;?;?;Jun;?;Europe;?;2
Australia;Jetstar - Duplicated (See JSA);?;?;?;Feb;2001;Oceania;?;1
?;?;1986;?;?;May;?;Central America and Mexico;1;1
Gibraltar;GB Airways;?;CF;?;?;1997;?;2;?
?;?;?;?;DC-9;Feb;1965;?;?;3
Russian Federation;?;?;?;?;Feb;2017;?;?;?
?;?;?;RR;747-200;?;?;Oceania;?;?
Belgium;?;?;?;?;?;?;Europe;?;1
Czech Republic;?;2018;CF;?;?;2013;Europe;1;1
China;?;2002;?;747-400F;?;2001;?;?;2
?;Air Nippon;1999;CF;?;May;?;?;?;?
USA;Handlingair Establishment;1975;PW;727;?;?;?;1;?
Dominican Republic;Dominicana Airlines;1975;PW;?;Apr;1975;?;?;1
Switzerland;?;?;?;?;Dec;1999;?;4;?
?;?;?;?;727;Jan;1968;Europe;?;1
?;Miami Air;?;?;?;Dec;2004;?;?;?
?;Ruili Airlines;2014;CF;?;Dec;2013;?;1;1
?;Avia Capital Leasing;2013;CF;737-800;Oct;2010;Europe;?;3
?;Nok Air;2016;?;?;May;?;?;3;3
?;?;?;CF;737-800A;Jan;?;?;?;?
Belgium;Trans European Airways;1979;PW;737-200;Feb;?;?;1;1
?;?;?;?;737-400;?;?;Europe;?;?
?;?;1969;PW;727;Apr;?;North America;?;2
USA;Atlas Air Inc.;?;GE;?;Feb;1999;North America;?;?
?;?;?;?;737-800A;?;?;Oceania;?;1
Jamaica;Air Jamaica-See CBL;1969;?;?;Jan;1969;?;?;?
China;?;2018;GE;?;Apr;?;East Asia;?;2
?;Alyemen Airlines;1984;?;737-200;Oct;1983;?;2;2
?;?;?;PW;707/720;?;?;?;4;4
?;SunExpress Airlines;?;?;737-800;Feb;?;?;5;5
?;Reno Air;1996;?;?;?;?;North America;?;2
Brazil;Cruzeiro;?;PW;727;?;1970;?;3;?
?;Southern Airways - USA (Inacti;?;?;?;?;?;North America;3;3
?;Avianca;1967;PW;?;?;?;South America;?;1
?;?;?;?;?;?;?;?;2;2
USA;?;?;?;DC-9;?;?;North America;?;1
United Kingdom;West Coast Airlines - UK (Inac;1966;PW;?;?;1965;?;?;3
Israel;EL AL Israel Airlines;?;?;747-200;?;1968;?;?;1
?;?;2005;GE;747-400F;Jan;2004;East Asia;2;?
Turkey;Cyprus Turkish Airlines (KTHY);1997;RR;?;Jun;1996;?;?;2
Netherlands;?;1973;?;DC-10;Feb;?;Europe;1;?
Colombia;?;?;?;?;Jan;1967;South America;?;?
France;Euralair;?;CF;?;May;1987;?;?;1
Yemen;?;?;?;?;?;1979;?;?;1
Japan;?;?;?;747-400F;Jan;?;East Asia;1;?
USA;?;1968;GE;DC-8;Mar;1966;North America;1;1
USA;?;?;?;?;Feb;1972;North America;2;2
Oman;Oman Air (SAOC);?;CF;?;Mar;?;Middle East;?;2
Angola;SonAir;2007;CF;737-700;Dec;?;?;?;1
?;Skyways Leasing;2017;CF;737-800;?;?;Europe;?;1
Tanzania United Republic of;Air Tanzania;?;?;?;Mar;?;?;1;?
?;Hashemite Kingdom of Jordan;?;?;727;?;1980;?;1;1
?;Presidential Flight;?;?;747-400;?;?;Middle East;?;?
?;Air China Southwest Branch;1994;?;?;?;?;East Asia;?;?
?;Linjeflyg;?;CF;?;?;1988;Europe;?;?
USA;Boeing Capital Corporation;?;?;777F;Aug;2018;North America;1;1
United Kingdom;?;2002;?;?;Mar;?;Europe;4;4
?;?;2003;CF;737-700W;?;2001;Oceania;?;1
?;?;?;?;?;?;1982;?;1;?
United Kingdom;TUI Travel PLC;?;RR;?;Jan;?;Europe;?;?
?;?;1964;PW;?;Feb;1963;?;?;2
?;?;?;GE;777-200LR;May;?;Africa;?;?
?;?;1973;PW;?;?;?;North America;1;?
?;Starflite Corporation;1999;RR;757-200;Dec;?;North America;1;1
?;Executive Jet Aviation;?;?;707/720;Nov;?;North America;?;?
Turkey;Sky Airlines;?;?;737-900ER;?;2006;Europe;?;2
?;Dream Aviation Ltd.;1999;?;?;?;1998;Middle East;1;?
?;Boeing Capital Corporation;2019;GE;777F;?;2018;North America;1;?
Brazil;?;1974;?;?;Jan;?;South America;?;1
Austria;?;?;CF;?;Jan;1999;Europe;?;?
Cameroon;?;1985;PW;?;?;?;?;1;1
?;Panagra Cargo;1966;PW;DC-8;Nov;?;?;1;1
Serbia;?;?;PW;737-200;?;1986;?;1;?
?;?;2014;?;737-900ER;?;2008;?;4;?
Serbia;Air Serbia;1974;PW;727;?;?;Europe;?;?
?;BLF Ltd.;?;CF;?;Mar;?;?;?;?
?;DHL;2019;?;?;?;2018;North America;?;4
?;Italian Air Force Tanker;2003;?;767-200ER;?;?;Europe;1;1
Madagascar;Air Madagascar;?;?;737-200;?;1972;?;?;1
United Kingdom;Midland Montagu Leasing;?;?;737-200;Mar;?;?;1;?
?;Asiana Airlines;2010;PW;?;?;2008;?;1;1
Equatorial Guinea;Ceiba Intercontinental;?;?;737-800;?;2010;Africa;?;?
Turkey;?;?;CF;?;?;2003;Europe;?;1
United Kingdom;?;2003;?;?;Mar;?;Europe;?;7
?;Maersk Air;?;CF;737-300;Jan;?;Europe;?;1
China;China Xinhua Airlines;?;?;737-300;?;1992;?;1;?
?;?;?;CF;737-400;?;1990;Oceania;2;?
USA;?;1981;PW;MD-80;Jan;?;?;1;?
Thailand;Thai Airways International;1995;?;747-400;Mar;?;Southeast Asia;?;1
?;?;2018;CF;?;?;2014;Europe;2;2
?;?;2013;CF;737-800;?;2011;Europe;1;?
China;Donghai Airlines;2015;?;737-800;Dec;?;East Asia;?;4
?;AirBridgeCargo Airlines;?;?;?;Mar;?;?;2;?
Bahamas;Bahamasair;1981;?;?;Feb;1980;?;1;1
?;MyTravel Airways;1997;RR;757-200;?;?;Europe;1;?
?;Panagra Cargo;1960;PW;?;Oct;?;?;3;3
Czech Republic;Smartwings a.s.;2010;?;?;?;2006;?;2;?
?;?;?;GE;?;Jan;?;North America;?;10
USA;Aviation Service & Support;1975;?;?;Jun;?;?;?;1
Indonesia;Lion Air;2014;?;?;Feb;?;?;16;?
Ireland;GPA Group;?;CF;?;Jan;1988;?;2;?
Niger;?;1978;PW;?;Jan;1977;?;1;?
?;Transair (Inactive);1970;?;737-200;Nov;?;?;2;?
USA;ATAircraft One;1967;PW;DC-9;Jan;1966;North America;3;3
?;Yemenia;?;?;?;Jun;?;?;1;1
China;?;?;?;?;?;?;East Asia;3;?
Singapore;?;2017;?;737-800;Feb;2017;?;?;2
?;?;?;RR;?;?;?;?;4;?
China;Okay Airways Company Limited;?;?;?;?;2014;?;1;?
?;?;?;GE;?;?;?;?;?;5
Japan;?;2010;CF;?;Jun;2009;?;2;2
USA;NAS Aviation Services LLC;?;?;?;?;1996;?;3;3
?;CSA;?;?;?;Mar;?;?;?;?
Turkmenistan;?;?;?;777-200LR;?;2008;Central Asia;?;1
India;?;?;PW;?;?;?;?;?;?
USA;TWA;1966;?;?;?;1965;?;12;?
?;?;?;GE;DC-8;?;1966;North America;1;1
?;?;1993;CF;?;Apr;?;?;?;?
France;?;?;?;MD-80;?;?;Europe;?;2
?;?;2017;CF;737-800;?;2015;Europe;14;14
USA;?;?;PW;737-200;?;?;North America;1;?
Netherlands;?;2016;?;777-300ER;?;?;?;?;?
Netherlands;?;?;CF;?;Mar;?;Europe;2;?
Australia;Qantas Airways;?;RR;?;Jan;?;?;?;2
?;?;1982;PW;737-200;?;1981;Europe;1;?
?;Air Astana;?;?;767-300ER;Feb;2012;?;1;1
?;SilkAir;2014;?;?;Nov;?;Southeast Asia;8;8
?;DHL Aviation Americas;?;GE;777F;?;?;?;?;1
?;?;2011;?;737-900ER;?;2010;?;?;2
?;?;?;?;737-800;Jan;?;?;2;2
?;?;1973;?;?;?;1973;?;1;?
Germany;?;1987;?;?;?;?;Europe;?;?
USA;?;?;?;?;?;?;?;1;?
?;?;?;?;737-200;Oct;?;?;?;?
Ireland;Irish Aerospace;?;PW;?;Jan;1988;?;?;?
Chile;LATAM Airlines Group;2009;?;?;Jan;?;South America;2;2
USA;?;1962;?;?;?;?;?;?;?
United Kingdom;Rolls-Royce A/C Management;?;?;?;?;1998;?;?;4
?;?;?;?;?;?;2016;?;1;?
China;Everbright Financial Leasing;?;CF;737-800;Jul;2016;East Asia;1;1
United Kingdom;Virgin Atlantic Airways;?;?;?;?;?;Europe;7;7
USA;United States Navy;?;CF;737-700C;?;2001;?;1;?
USA;Air Florida;1980;PW;737-200;Jan;1979;?;?;?
United Kingdom;BDS UK P-8;2020;?;737-800A;?;2018;?;?;3
?;SMBC Aviation Capital;2018;?;737 MAX;?;?;?;1;1
?;Cargolux Airlines Internationa;?;RR;?;?;2003;?;?;?
?;?;1990;PW;MD-80;Sep;1987;?;2;?
Italy;Aero Trasporti Italiani;1971;PW;?;Feb;1969;?;?;?
Tanzania United Republic of;?;?;?;?;Dec;2016;Africa;?;?
?;?;?;?;?;Apr;?;?;7;7
Norway;Busy Bee;?;PW;737-200;Dec;1979;?;?;?
?;?;?;?;707/720;?;1968;Europe;?;?
Saudi Arabia;?;?;CF;?;Oct;1989;?;1;1
?;PLUNA;?;?;?;?;1969;South America;?;1
Angola;SonAir;2008;?;737-700;Jun;2006;Africa;1;1
China;?;2018;?;737-800;?;2014;?;1;1
?;?;?;RR;?;Feb;?;Europe;1;?
?;American Airlines;1975;PW;?;Jan;?;?;?;?
?;?;1998;RR;MD-90;?;1996;Southeast Asia;3;?
?;?;1988;?;?;Dec;1986;Europe;?;?
?;TAAG Angola Airlines;?;PW;737-200;?;1985;?;1;1
Netherlands;Transavia Airlines;1987;CF;737-300;?;1986;Europe;?;?
?;Finans AB Balans;?;PW;?;Sep;1986;Europe;?;?
Thailand;Royal Thai Air Force;?;CF;?;Feb;1995;?;?;?
Fiji;?;?;?;?;?;2017;Oceania;?;3
?;?;?;?;727;?;?;Oceania;1;1
Canada;Pacific Western Airlines;?;PW;?;?;?;?;2;2
?;?;?;GE;DC-8;?;?;South America;1;1
Brazil;?;2006;?;?;?;?;South America;4;?
?;Unidentified Customer(s);?;GE;?;?;?;Unidentified;4;?
Afghanistan;Ariana Afghan Airlines;?;PW;727;?;1969;Central Asia;?;?
Indonesia;Pelita Air Service;1975;?;?;?;1974;?;?;1
China;?;1991;PW;MD-80;Mar;1990;?;?;1
Spain;?;1974;?;?;?;?;Europe;?;4
Germany;Condor Flugdienst;?;?;?;?;?;Europe;1;1
China;?;1986;?;?;?;1985;?;1;1
?;Business Jet / VIP Customer(s);1999;CF;BBJ;?;1996;North America;1;?
?;?;2017;?;?;Jan;2012;?;?;?
USA;?;?;?;707/720;?;1957;North America;4;4
?;?;1975;?;?;Feb;1974;Oceania;2;2
Taiwan;Mandarin Airlines;1995;PW;747-400;Sep;?;Southeast Asia;?;?
?;Midwest Airlines Inc.;?;BR;717-200;?;2002;North America;?;6
?;Shanghai Airlines;1994;?;?;?;?;East Asia;1;1
?;?;1981;?;737-200;May;?;?;1;?
USA;?;?;?;737-800A;Jan;?;?;?;3
?;KB Flygplanet;?;PW;MD-80;?;1988;?;?;1
?;?;?;PW;?;?;?;North America;?;?
USA;?;?;?;737-700;Dec;?;North America;?;?
?;?;1992;GE;?;Jul;1991;?;?;?
?;Panair do Brasil;1961;PW;?;Oct;?;South America;2;2
Denmark;?;?;RR;?;?;1989;?;1;1
Germany;?;1968;?;?;Jan;1966;Europe;2;2
?;?;?;?;?;Oct;1981;?;?;1
USA;?;?;PW;DC-8;?;1963;?;?;1
Singapore;?;2016;CF;737-800;?;?;?;3;3
?;?;1976;?;?;Jan;1976;Europe;2;2
?;World Airways Inc.;?;PW;707/720;Jan;?;?;?;?
USA;?;?;?;?;?;1968;?;?;?
?;?;1995;?;?;Jan;?;?;?;?
Ethiopia;?;1987;PW;737-200;Jan;1987;Africa;1;?
China;?;?;?;737-800;?;?;East Asia;3;?
?;?;2017;?;?;Jul;?;?;?;2
?;?;?;CF;?;Apr;1992;?;1;?
United Kingdom;MyTravel Airways;1994;GE;767-300ER;?;1993;Europe;?;?
Lebanon;?;1975;PW;747-200;?;?;?;3;?
Brazil;?;?;?;?;Jan;1980;South America;4;4
?;?;1979;PW;747-200;Feb;1978;?;1;?
Mexico;?;1991;CF;?;?;1989;Central America and Mexico;2;2
?;Universal Airlines;?;?;?;Sep;?;North America;2;2
?;Purdue Airlines;1969;PW;DC-9;Jun;1967;?;?;1
?;?;?;?;?;May;?;North America;3;?
?;?;?;CF;737-700;?;2001;Central America and Mexico;?;?
France;Transavia Company SAS;?;?;?;?;2014;?;8;8
?;British Caledonian Airways;?;GE;?;Feb;1980;?;1;?
United Kingdom;Security Pacific EuroFinance;1991;?;737-300;?;?;?;?;1
Pakistan;Pakistan International Airline;?;GE;DC-10;Mar;?;?;1;?
?;NAS Aviation Services LLC;?;?;?;Jan;1996;?;?;1
?;Air Namibia;1999;GE;747-400M;Apr;1999;?;1;1
Kuwait;ALAFCO;2010;?;737-800;Mar;2007;Middle East;?;?
Nauru;Nauru Airlines;?;CF;737-400;?;1991;Oceania;?;2
?;AIR ITALY S.p.A.;1989;PW;MD-80;?;?;?;?;?
Italy;?;1987;PW;?;Jan;1986;?;?;1
Venezuela;AVENSA;1967;?;?;Aug;?;?;2;2
Saudi Arabia;?;1987;?;?;?;?;?;?;?
?;?;?;?;737-200;Mar;?;?;?;4
?;?;?;?;?;May;?;?;1;?
Tunisia;?;?;PW;?;?;?;Africa;1;?
Cyprus;Skyways Leasing;2017;?;737-800;?;?;Europe;?;1
France;Air France;1972;PW;?;?;1971;?;?;3
?;?;?;PW;?;Mar;1974;Europe;?;3
Japan;?;1965;PW;727;?;1964;East Asia;3;?
USA;Airlift International;1964;PW;DC-8;Feb;1963;?;1;1
Uzbekistan;Uzbekistan Airways;?;?;?;Apr;2018;?;?;?
?;Presidential Flight;?;?;737-200;?;?;Middle East;1;?
Argentina;Estado Nacional Argentino ENA;?;PW;?;Jun;1975;South America;1;?
State of Libya;Libyan Airlines;?;?;727;May;?;?;2;2
?;?;1985;PW;737-200;?;1984;?;?;?
?;?;1999;?;?;Jul;1999;East Asia;1;?
France;UTA;?;?;DC-8;Feb;1966;?;2;?
?;?;?;PW;DC-9;?;?;?;1;1
?;?;?;?;?;Apr;1969;North America;1;?
?;Cathay Pacific Airways;?;RR;?;Feb;?;?;1;?
Poland;?;2018;CF;737 MAX;Nov;?;?;?;?
China;?;?;?;?;?;?;?;4;?
USA;Executive Jet Aviation;1967;PW;?;?;?;?;2;2
New Zealand;?;?;PW;737-200;?;1978;?;?;1
China;Kunming Airlines;?;CF;?;Jun;?;?;2;2
?;Aer Lingus;?;PW;747-100;Jan;1967;?;?;1
Canada;Nordair;?;?;?;?;?;?;1;1
USA;?;1969;?;?;Feb;1968;North America;3;?
?;?;?;CF;?;Feb;?;?;?;2
?;Ansett Worldwide Av. Equipment;?;?;737-300;?;1992;Oceania;1;1
France;?;?;?;?;?;?;?;4;?
?;ICBC Leasing;2016;CF;737-800;May;?;East Asia;?;8
USA;Eastern Air Lines;?;?;DC-8;Jan;?;North America;4;?
Canada;WestJet;?;?;?;?;2004;?;3;3
?;Republic of Senegal;?;PW;?;?;?;Africa;1;?
?;Air Lease Corporation;2014;?;?;Feb;?;?;?;?
Bangladesh;?;2014;GE;?;Apr;2008;South Asia;?;2
?;?;?;?;?;Feb;2006;Europe;?;2
?;?;1967;?;?;?;?;?;?;1
?;?;?;GE;777F;?;2018;East Asia;?;?
Kuwait;?;2009;?;?;Jul;?;Middle East;?;2
Ireland;?;2018;?;737-800;Apr;?;?;3;?
United Kingdom;?;?;?;737-800A;?;?;?;4;?
USA;Braniff Airlines;?;?;747-100;Jan;?;North America;?;?
Oman;?;?;?;737-800;?;2004;Middle East;?;1
Madagascar;?;?;PW;?;Jun;?;?;1;1
Indonesia;Indonesian Air Force-DUPLICATE;1983;?;737-200;Apr;1981;?;?;2
