2019;?;?;?;?;19.8;?;Royal-Enfield;?
2015;4600;?;lucknow;26.0;?;135000;Royal-Enfield;Continental
2014;28912;second;?;?;25.0;?;KTM;?
2016;?;first;bangalore;?;19.0;60000;Bajaj;Avenger
2016;50000;second;?;?;19.0;51000;Bajaj;?
?;?;first;delhi;22.0;?;?;TVS;Apache
2016;3400;?;gurgaon;?;42.3;?;?;?
2020;6500;first;?;?;8.1;55000;?;CT
?;36500;first;ludhiana;?;12.0;55000;Bajaj;?
2020;?;?;chandigarh;35.0;?;215000;?;?
?;4900;first;chandigarh;35.0;19.8;165000;Royal-Enfield;?
2019;14500;?;ambala;?;19.8;?;Royal-Enfield;Classic
2020;6000;first;chandigarh;?;?;?;Royal-Enfield;Classic
2018;?;?;chandigarh;?;19.0;115000;?;Avenger
?;14000;second;?;30.0;19.8;125000;Royal-Enfield;Bullet
2020;?;first;?;35.0;19.1;209000;?;?
2019;?;?;chandigarh;35.0;27.2;205000;Royal-Enfield;Classic
2018;?;first;?;?;?;170000;Royal-Enfield;Classic
?;18000;?;?;42.0;16.0;65000;Yamaha;YZF-R15
2018;4000;first;?;?;?;?;Royal-Enfield;Thunderbird
2019;12000;?;delhi;35.0;19.8;162000;Royal-Enfield;Classic
2020;3000;first;delhi;32.0;24.3;210000;?;Himalayan
?;38000;first;hyderabad;?;?;33000;Mahindra;Centuro
2016;28800;?;bangalore;67.0;8.1;39000;?;CT
2019;36000;first;?;?;?;?;Hero;HF
2020;5659;?;?;35.0;19.1;185000;Royal-Enfield;Classic
2015;39000;?;bangalore;63.0;?;46500;Suzuki;?
2011;?;?;?;?;19.0;27899;?;Avenger
2017;21500;?;?;?;33.0;?;TVS;Apache
2019;13700;first;mumbai;40.0;14.6;110000;Suzuki;Gixxer
2021;4890;first;?;?;?;112000;Honda;?
2011;38998;first;?;40.0;?;95000;Royal-Enfield;Bullet
?;?;first;?;?;?;?;Hero;?
?;?;?;?;?;?;130000;Royal-Enfield;Classic
2014;52000;first;?;81.0;8.2;39000;Hero;?
2013;?;first;?;65.0;12.32;32000;Bajaj;?
2014;46000;?;hyderabad;55.0;8.9;?;?;Glamour
2013;?;first;?;37.0;19.8;120000;Royal-Enfield;Bullet
?;31000;first;mumbai;25.0;?;?;KTM;Duke
?;?;first;bangalore;?;11.8;?;Bajaj;V15
?;16805;?;delhi;35.0;?;?;?;?
2016;?;?;?;?;19.8;110000;Royal-Enfield;?
?;13562;?;?;35.0;?;125000;?;Classic
2019;6500;first;chandigarh;?;19.8;190000;?;Classic
2003;?;second;hyderabad;?;?;160000;?;Thunderbird
2016;13400;first;gurgaon;40.0;19.8;111100;Royal-Enfield;?
?;14494;?;?;40.0;19.8;148000;Royal-Enfield;?
2017;?;?;rajkot;?;19.8;?;Royal-Enfield;Classic
2012;47500;first;?;45.0;13.0;35000;Yamaha;?
?;25000;?;rajkot;25.0;19.8;89280;Royal-Enfield;?
?;?;?;?;45.0;?;55000;?;Avenger
2014;?;first;?;40.0;?;36312;Bajaj;?
2013;50000;?;?;?;19.8;86000;Royal-Enfield;?
2015;24000;first;?;?;19.8;110000;Royal-Enfield;?
2013;?;?;jaipur;45.0;?;35000;?;?
?;?;first;?;40.0;?;150000;Royal-Enfield;Thunderbird
?;?;?;delhi;?;13.0;?;Yamaha;FZs
2014;?;?;ahmedabad;?;8.2;?;?;Passion
?;15000;?;?;?;19.8;?;Royal-Enfield;Bullet
2018;10143;first;?;?;?;41500;Hero;Passion
2017;?;first;?;81.0;8.2;?;Hero;?
2016;?;second;bangalore;?;19.8;149000;Royal-Enfield;?
?;16000;first;bangalore;55.0;9.3;?;Hero;Splendor
?;20000;?;?;55.0;?;55000;Hero;?
2016;?;first;bangalore;38.0;?;75000;Bajaj;Pulsar
2015;16000;first;bangalore;?;24.2;79999;Bajaj;Pulsar
?;30500;first;?;63.0;14.0;?;Suzuki;?
?;?;?;delhi;65.0;?;22500;?;?
?;45990;first;chittorgarh;75.0;9.0;?;?;Super
?;?;?;?;?;?;69000;Bajaj;Avenger
2017;?;?;chandigarh;35.0;24.8;?;UM;?
2017;4333;first;mumbai;40.0;19.8;?;Royal-Enfield;Thunderbird
?;9301;first;mumbai;?;19.8;175000;?;?
2015;35000;first;delhi;35.0;19.8;?;Royal-Enfield;?
?;?;first;?;25.0;?;?;?;?
?;18546;?;bangalore;63.0;?;56430;?;Gixxer
2016;?;?;?;65.0;17.0;?;Bajaj;?
2015;49000;first;?;38.0;?;?;Bajaj;Pulsar
2018;?;first;?;?;?;130000;Royal-Enfield;Classic
?;?;?;mumbai;60.0;14.0;38000;Honda;?
?;32000;fourth;navi mumbai;38.0;?;40000;Honda;?
2015;?;first;delhi;?;?;70000;?;?
2015;29000;?;mumbai;?;?;41000;?;?
2017;29562;first;bangalore;35.0;27.2;140000;Royal-Enfield;?
?;?;second;?;?;19.0;60000;Royal-Enfield;Electra
?;?;first;?;35.0;?;184000;?;Classic
2019;?;?;delhi;81.0;?;54000;Hero;Splendor
2018;9100;first;?;35.0;19.8;135000;?;Classic
?;?;first;delhi;55.0;?;43000;Hero;HF
2012;?;first;gurgaon;32.0;?;?;?;Classic
2017;58000;first;visakhapatnam;?;19.8;114900;Royal-Enfield;Classic
1991;1700;?;?;?;?;175000;?;Bullet
?;?;first;chandigarh;35.0;19.8;197000;?;?
?;?;first;chandigarh;35.0;?;?;UM;?
2017;?;first;chandigarh;43.0;?;?;?;?
2008;60000;?;?;75.0;9.0;18000;Hero;Super
2020;?;first;?;?;?;195000;?;?
?;15000;second;?;?;?;180000;Royal-Enfield;Himalayan
2020;?;first;ludhiana;?;?;132000;Bajaj;Pulsar
2016;30000;first;?;25.0;19.8;112800;?;?
2017;?;first;kolkata;40.0;?;60800;?;?
?;11000;first;chandigarh;35.0;19.8;?;Royal-Enfield;Classic
2018;?;?;mumbai;38.0;21.0;80000;?;?
2016;?;?;jalandhar;?;?;75000;Bajaj;?
?;13230;?;mumbai;35.0;19.8;175000;Royal-Enfield;Classic
2016;8800;?;ambala;?;?;?;Royal-Enfield;Thunderbird
2015;?;first;delhi;40.0;?;95000;?;Thunderbird
?;?;first;delhi;35.0;19.8;105000;?;?
2016;16000;first;ahmedabad;?;?;70000;?;Avenger
2015;?;first;?;35.0;19.8;?;Royal-Enfield;?
?;?;first;bangalore;?;25.1;210000;?;RC
2017;?;second;?;?;?;?;?;Duke
2010;95000;?;delhi;?;?;17000;Bajaj;Pulsar
?;99000;fourth;delhi;?;33.0;103000;TVS;?
2014;?;first;hyderabad;83.0;?;?;Hero;?
?;?;first;hyderabad;?;?;45000;Hero;?
2016;?;?;delhi;89.0;?;26000;Bajaj;CT
?;44000;?;chittorgarh;5.0;8.2;60000;Hero;Passion
?;?;first;?;?;?;55000;?;?
?;?;first;pune;?;?;550000;Bajaj;Avenger
?;?;?;?;65.0;?;?;?;?
?;17700;second;bangalore;?;?;?;Suzuki;Gixxer
?;?;?;chittorgarh;50.0;14.2;?;?;Xtreme
2014;20000;?;?;?;14.2;32000;Hero;?
?;35000;?;ludhiana;?;?;?;?;Pulsar
2019;12000;first;jalandhar;42.5;?;165000;?;?
?;?;first;ludhiana;35.0;24.8;190000;UM;Renegade
1994;34000;?;ludhiana;?;?;78000;Royal-Enfield;Bullet
2008;45000;?;ludhiana;37.0;19.8;140000;?;Bullet
?;?;?;chandigarh;53.0;19.0;100000;?;?
?;600;first;chandigarh;35.0;?;195000;Royal-Enfield;Classic
2017;12000;second;chandigarh;65.0;?;58000;Bajaj;Pulsar
2015;15000;first;ambala;55.0;11.0;?;Hero;?
2019;3200;first;chandigarh;?;?;?;?;?
2010;?;?;delhi;?;?;85500;Royal-Enfield;?
?;42000;first;howrah;53.0;?;55000;Bajaj;Avenger
2014;30000;?;bangalore;?;?;105000;KTM;?
2017;?;first;bangalore;65.0;17.0;?;?;?
2017;?;?;mumbai;?;?;115000;Royal-Enfield;?
2020;7464;?;mumbai;?;19.8;?;Royal-Enfield;Classic
2016;?;first;?;?;19.8;?;?;Bullet
2017;14062;first;?;63.0;14.0;?;?;?
2018;?;first;mumbai;81.0;8.2;58000;Hero;Splendor
2016;34300;first;?;?;?;56000;?;?
2014;?;first;?;40.0;?;?;Bajaj;?
2018;16000;?;delhi;35.0;?;135000;Royal-Enfield;?
2017;30000;?;delhi;?;?;40000;?;?
?;32000;first;?;40.0;?;?;Suzuki;Gixxer
2014;?;?;?;40.0;24.2;43500;Bajaj;?
2016;?;first;delhi;50.0;14.3;50000;Bajaj;Avenger
2010;?;first;?;?;15.0;19300;Bajaj;Pulsar
?;48700;first;?;?;?;72000;?;Avenger
?;22328;first;hyderabad;?;19.8;110200;Royal-Enfield;Thunderbird
2010;58000;first;jaipur;64.0;?;15700;?;Pulsar
2016;15000;?;mumbai;53.0;19.0;56648;?;Avenger
?;13000;?;?;25.0;27.2;120000;Royal-Enfield;Thunderbird
2016;96000;first;delhi;38.0;?;52000;?;?
2013;?;?;?;18.0;?;545000;Harley-Davidson;Street
?;38000;?;chandigarh;35.0;?;58050;Royal-Enfield;Thunderbird
2016;?;first;jodhpur;65.0;?;?;Bajaj;Pulsar
2017;26000;first;delhi;?;19.8;?;Royal-Enfield;Classic
2011;23270;?;pune;32.0;?;?;?;Classic
?;?;first;?;65.0;?;?;Bajaj;?
2017;20000;first;?;53.0;?;53668;Bajaj;Avenger
?;?;?;?;?;?;37462;Hero;Passion
?;89000;?;delhi;65.0;17.0;35000;Bajaj;Pulsar
?;25000;?;?;55.0;?;?;?;?
2014;?;?;?;?;19.8;?;Royal-Enfield;?
2017;?;?;?;38.0;21.0;55300;?;?
2019;71000;?;?;?;17.0;60800;Bajaj;?
?;?;first;delhi;?;19.0;16000;Bajaj;?
2017;85000;first;delhi;38.0;?;57000;?;?
?;?;?;?;?;21.0;31000;Bajaj;Pulsar
2017;18721;first;pune;35.0;?;121000;?;?
?;12000;first;?;40.0;14.6;60000;Suzuki;Gixxer
2018;12282;first;?;35.0;19.8;?;?;?
2019;8384;?;?;25.0;19.8;137000;Royal-Enfield;?
?;?;?;?;?;?;129000;Royal-Enfield;?
2016;25558;first;delhi;25.0;26.1;?;?;Standard
?;78000;?;jaipur;40.0;?;59600;?;?
?;30000;first;chennai;40.0;19.8;?;?;?
2020;59000;fourth;?;?;17.0;55000;?;Pulsar
?;?;?;24 pargana;52.0;?;?;?;FZS
2019;89000;first;?;65.0;?;61000;?;Pulsar
?;4000;first;jaipur;65.0;12.32;?;Bajaj;?
?;46453;first;bangalore;55.0;8.2;32100;?;Splendor
2017;8500;?;?;35.0;?;?;UM;Renegade
2016;10000;first;delhi;40.0;?;90000;?;Thunderbird
2015;?;first;delhi;40.0;?;88000;Royal-Enfield;Thunderbird
?;13500;?;?;?;?;?;?;Avenger
?;19000;?;?;65.0;12.32;19500;Bajaj;?
2017;92000;?;delhi;38.0;?;56000;Bajaj;?
?;?;second;mumbai;?;?;150000;?;RC
2016;?;first;delhi;?;?;120000;?;Classic
?;25000;first;?;45.0;14.3;45000;Bajaj;Avenger
2017;?;first;delhi;57.0;11.8;28000;?;?
2016;39000;second;hyderabad;53.0;19.0;46000;Bajaj;Avenger
2018;6200;first;chennai;45.0;15.3;?;?;?
?;46000;?;visakhapatnam;35.0;19.8;?;?;Classic
2018;?;first;?;26.0;?;200000;KTM;?
?;?;second;pune;?;?;85000;?;Thunderbird
2020;8000;first;kolkata;?;18.3;160000;Yamaha;YZF-R15
?;15200;first;?;57.0;11.8;?;?;?
?;11200;first;bangalore;?;33.0;190000;TVS;Apache
?;18500;first;?;?;42.3;?;?;?
?;13800;first;ahmedabad;?;?;45000;?;?
2019;14000;first;?;55.0;8.17;48500;Hero;?
2018;?;first;navi mumbai;?;?;?;?;?
?;12000;?;mumbai;40.0;24.2;44200;Bajaj;?
2016;?;?;?;5.0;8.2;30000;Hero;?
2018;61000;?;?;?;21.0;?;Bajaj;Pulsar
?;42344;?;bangalore;?;?;?;Hero;?
2001;?;first;bangalore;45.0;7.44;25000;?;Splendor
2016;25700;first;?;42.0;16.7;65000;Yamaha;?
2013;25000;second;rajkot;42.0;16.7;?;?;YZF-R15
2013;12070;first;delhi;?;?;60000;Yamaha;?
2019;3595;first;bangalore;35.0;?;?;?;RC
2018;8500;first;thane;40.0;?;140800;?;Thunderbird
2011;40000;first;mumbai;40.0;17.0;35000;Hero;?
2017;?;first;delhi;38.0;21.0;69569;?;Pulsar
2015;?;first;jaipur;?;21.0;53100;?;Pulsar
2020;5000;?;rajkot;?;19.8;200000;Royal-Enfield;?
?;?;first;gurgaon;45.0;?;70000;Bajaj;Avenger
2016;75000;first;jaipur;35.0;?;58000;Bajaj;?
2008;?;first;gurgaon;45.0;17.0;9150;Bajaj;Pulsar
?;?;?;jaipur;65.0;?;?;Bajaj;?
2015;14321;first;?;?;27.2;110000;Royal-Enfield;?
2016;16950;first;?;?;?;125000;Royal-Enfield;Classic
2021;600;first;?;?;14.6;140000;?;Gixxer
2012;29000;?;mumbai;55.0;14.0;30000;?;?
2016;18302;first;?;?;?;115000;?;Classic
?;37000;first;?;?;24.5;170000;Royal-Enfield;Himalayan
2014;17000;first;rajkot;35.0;19.8;?;Royal-Enfield;?
?;38150;first;mumbai;65.0;17.0;45000;?;Pulsar
2015;60000;?;?;63.0;14.0;45000;?;?
2015;?;?;delhi;?;19.8;?;Royal-Enfield;?
2018;?;first;delhi;40.0;19.0;80000;Bajaj;?
?;?;first;ahmedabad;35.0;19.8;104600;Royal-Enfield;?
2016;25678;?;bangalore;5.0;8.2;?;Hero;Passion
2017;5947;first;?;53.0;19.0;80000;Bajaj;Avenger
2020;3300;?;delhi;22.0;33.0;260000;?;Apache
2020;3000;first;?;?;19.8;?;?;?
2014;48000;?;?;35.0;?;115000;Royal-Enfield;Classic
2014;?;?;hyderabad;26.0;?;110000;?;?
2019;12500;?;?;?;19.8;60000;Royal-Enfield;Classic
?;?;first;bangalore;32.0;?;60000;?;?
2007;89000;?;?;?;12.92;11250;Bajaj;Discover
2016;?;?;kolkata;?;?;65000;?;?
?;?;?;mumbai;?;?;36814;?;?
?;71000;second;jaipur;38.0;?;?;?;?
?;?;first;?;35.0;?;?;?;?
?;16000;first;bangalore;?;10.9;55000;Bajaj;?
2020;?;first;?;?;19.8;?;?;Classic
2019;3200;?;vadodara;35.0;19.8;?;?;Classic
?;46650;?;mumbai;?;25.1;?;?;RC
?;14000;?;mumbai;40.0;?;35000;Bajaj;Avenger
2018;?;first;ahmednagar;?;8.17;23500;Hero;HF
2019;8000;?;bangalore;32.0;24.5;180000;?;Himalayan
2018;?;?;hyderabad;40.0;19.8;140000;Royal-Enfield;?
2014;16000;?;?;40.0;?;?;?;Bullet
?;27000;second;?;57.0;?;45000;?;V15
?;14400;?;delhi;25.0;42.9;?;KTM;?
?;?;first;delhi;40.0;19.0;42000;Bajaj;?
2019;15000;first;delhi;?;?;?;?;?
?;22459;?;?;50.0;14.3;48000;Bajaj;Avenger
2008;?;?;mumbai;45.0;?;?;Bajaj;?
?;15000;first;delhi;35.0;?;118000;?;?
2015;?;first;bangalore;63.0;?;52000;Suzuki;Gixxer
2019;?;?;hyderabad;?;?;65000;Hero;Glamour
?;58000;second;bangalore;45.0;13.0;35000;?;FZs
2015;?;?;?;35.0;25.0;95000;?;?
2018;?;?;?;?;8.1;22500;Hero;HF
?;6750;?;ahmedabad;65.0;8.1;23500;Hero;?
2018;6750;?;?;65.0;?;?;Hero;?
?;2002;first;?;?;19.1;?;Royal-Enfield;?
?;78000;first;jodhpur;?;?;51000;Bajaj;Pulsar
?;10000;first;mumbai;?;?;?;KTM;RC
2014;?;first;gautam buddha nagar;35.0;?;?;?;Classic
2012;?;?;jaipur;?;17.0;26000;?;?
2018;50000;?;hyderabad;50.0;9.0;?;?;?
?;25272;?;?;43.0;?;?;?;FZ25
2014;?;first;hyderabad;45.0;13.0;61000;Yamaha;?
2015;46000;first;hyderabad;55.0;?;?;?;?
?;15000;first;?;?;19.8;102000;Royal-Enfield;?
2019;?;first;indore;35.0;19.8;?;Royal-Enfield;?
2018;14322;first;gurgaon;?;?;?;?;HF
?;69000;first;mumbai;35.0;?;?;?;Thunderbird
2018;37000;first;delhi;?;21.0;72000;Bajaj;Pulsar
?;?;?;bangalore;?;?;25000;Hero;Super
?;?;first;bangalore;65.0;15.0;?;Bajaj;?
2018;17900;first;bangalore;38.0;21.0;88000;Bajaj;Pulsar
2017;9000;?;chennai;?;25.1;?;?;?
?;11735;first;delhi;35.0;?;172000;Royal-Enfield;Classic
?;30000;first;vadodara;?;?;84575;?;Classic
?;35000;first;delhi;5.0;8.2;?;Hero;?
2010;25000;first;gurgaon;?;?;?;?;Pulsar
2013;?;?;?;?;19.8;80000;?;Thunderbird
2017;?;second;delhi;35.0;19.8;?;Royal-Enfield;Classic
?;?;first;indore;35.0;?;145000;?;?
?;40000;?;hyderabad;50.0;?;45000;Hero;Xtreme
2016;50000;first;?;?;?;165000;Royal-Enfield;Classic
?;46000;second;chennai;48.0;20.0;46000;?;?
?;?;first;?;53.0;16.8;?;Bajaj;Pulsar
?;97000;fourth;?;38.0;21.0;22000;?;Pulsar
?;?;first;?;?;24.8;120000;UM;Renegade
?;?;first;?;?;?;?;Royal-Enfield;?
?;?;first;?;40.0;19.8;?;Royal-Enfield;Thunderbird
2013;?;first;bangalore;85.0;?;?;TVS;?
?;?;second;?;?;8.2;34000;Hero;Splendor
2018;9000;first;delhi;?;25.0;?;UM;Renegade
2014;?;?;noida;?;?;75000;?;?
2016;?;?;bangalore;5.0;8.2;?;Hero;Passion
2015;?;?;bangalore;84.0;8.2;?;Hero;Passion
?;43000;first;delhi;38.0;21.0;73500;?;?
2017;15000;first;ahmedabad;?;?;110000;Royal-Enfield;Thunderbird
2017;4000;?;?;25.0;27.2;?;Royal-Enfield;Thunderbird
2011;?;first;ghaziabad;?;?;?;?;Electra
?;12000;first;delhi;35.0;24.8;96600;UM;Renegade
?;20977;first;delhi;?;19.8;?;Royal-Enfield;Classic
2019;?;?;?;45.0;?;?;?;Avenger
?;?;second;chennai;45.0;13.0;?;?;FZs
2017;55000;first;delhi;53.0;19.0;58000;Bajaj;Avenger
?;?;?;mumbai;32.0;27.2;125000;?;Classic
?;3200;first;meerut;?;19.8;140000;Royal-Enfield;Thunderbird
2010;10000;first;delhi;53.0;14.0;?;?;Hunk
2018;33000;first;bangalore;40.0;19.0;50000;Bajaj;Avenger
2017;46000;?;?;?;19.0;60000;Bajaj;Avenger
?;19000;first;delhi;?;?;50400;?;Pulsar
2013;?;first;?;?;12.32;?;Bajaj;Discover
?;67000;?;delhi;38.5;?;?;Bajaj;Pulsar
2013;?;first;delhi;?;21.0;36500;Bajaj;Pulsar
?;85000;second;?;?;?;52200;?;?
