riga;nome attributo;valore da imputare;valore imputato
856;kms_driven;3500;?
1425;model;RC;?
272;model;Renegade;?
683;power;12.9;?
1556;kms_driven;10000;?
3797;location;hyderabad;?
1757;mileage;32.0;?
1096;model;Classic;?
1421;price;40000;?
3636;owner;first;first
1002;power;21.0;?
649;kms_driven;58000;?
2623;location;dehradun;?
3653;power;19.8;?
189;price;114900;?
1280;mileage;35.0;?
2141;power;82.7;?
968;location;thane;?
3150;model_year;2011;?
1739;model_year;2015;?
4020;owner;first;first
3160;power;15.3;?
549;owner;first;first
249;power;15.0;?
180;location;delhi;?
3946;company;Royal-Enfield;?
3220;power;42.9;?
598;price;69400;?
2914;model_year;2010;?
1292;price;39000;?
780;mileage;84.0;?
595;price;30000;?
291;model;RC;?
183;price;60000;?
354;company;Bajaj;?
3273;location;delhi;?
1750;model_year;2007;?
1996;owner;second;first
3924;model;Duke;?
3441;mileage;18.0;?
956;price;133400;?
2017;model;Classic;?
1592;model;RC;?
3318;price;157000;?
3320;model_year;2016;?
3768;location;bangalore;?
2030;kms_driven;20000;?
1062;company;Hyosung;?
2965;model;Classic;?
1362;company;UM;?
3396;power;17.0;?
3215;price;14000;?
2888;price;78000;?
4064;location;jalandhar;?
464;model_year;2018;?
2512;price;39400;?
304;owner;first;first
2521;company;Royal-Enfield;?
1888;company;Royal-Enfield;?
2562;company;Royal-Enfield;?
340;model;Classic;?
1395;model_year;2017;?
1899;price;115700;?
573;owner;first;first
110;price;157000;?
2738;model;Renegade;?
572;power;17.0;?
4006;mileage;38.0;?
2764;model_year;2010;?
2016;model_year;2019;?
2475;location;gurgaon;?
3450;mileage;40.0;?
927;model;RC;?
1997;kms_driven;7000;?
3282;power;7.4;?
1385;location;hyderabad;?
1917;price;124500;?
2135;model;TNT;?
3502;model_year;2014;?
365;mileage;35.0;?
2859;price;28000;?
1208;model;Renegade;?
3466;location;ghaziabad;?
765;kms_driven;3500;?
2417;model_year;2019;?
3262;model;Ignitor;?
2732;model;Avenger;?
1834;owner;first;first
2488;company;UM;?
3626;kms_driven;35300;?
2200;power;21.0;?
706;company;Hero;?
782;model_year;2017;?
3152;company;Hero;?
3178;price;33000;?
3108;model_year;2017;?
1186;location;bangalore;?
1922;power;74.0;?
257;kms_driven;38000;?
1939;mileage;35.0;?
634;price;10500;?
3348;model_year;2019;?
2647;model;Duke;?
576;owner;second;first
1045;company;Bajaj;?
723;location;bangalore;?
1357;power;19.8;?
19;owner;first;first
2159;owner;first;first
1733;kms_driven;59000;?
5;mileage;65.0;?
1477;company;Bajaj;?
779;model_year;2018;?
2754;company;Hero;?
3774;power;20.3;?
3492;company;Bajaj;?
2199;model_year;2018;?
1705;mileage;32.0;?
2145;price;10500;?
1190;model;Splendor;?
1140;location;delhi;?
245;owner;first;first
1661;kms_driven;20000;?
2020;price;145250;?
1891;model_year;2017;?
2474;location;mumbai;?
2949;owner;first;first
2357;kms_driven;4500;?
223;power;17.0;13.0
3792;owner;first;first
3110;price;62000;?
259;kms_driven;26000;?
3360;model_year;2019;?
3477;location;gurgaon;?
3513;model;Street;?
218;power;14.3;?
3681;company;Royal-Enfield;?
1242;company;UM;?
3000;model;Bullet;?
1995;kms_driven;31220;?
702;model;CBR;?
2806;model;Classic;?
2728;price;175000;?
558;company;Royal-Enfield;?
1532;company;KTM;?
1875;power;19.0;?
990;company;Royal-Enfield;?
116;owner;first;first
465;model_year;2016;?
2996;model_year;2017;?
1622;model_year;2006;?
4083;location;chennai;?
1450;model_year;2016;?
795;price;185000;?
1296;location;thane;?
485;company;Bajaj;?
2573;kms_driven;2550;?
401;model_year;2015;?
2174;company;Harley-Davidson;?
1436;price;85000;?
114;price;209000;?
3151;model;V15;?
1463;model;Street;?
3019;company;Royal-Enfield;?
1576;power;19.8;?
2448;model;Thunderbird;?
271;kms_driven;25000;?
898;mileage;40.0;?
3421;location;bangalore;?
3594;company;Royal-Enfield;?
1600;price;125000;?
3080;mileage;40.0;?
419;owner;second;first
839;price;105000;?
2424;location;ahmedabad;?
21;price;148000;?
2525;owner;first;first
1991;mileage;35.0;?
3377;mileage;35.0;?
2214;model;Avenger;?
3309;mileage;40.0;?
2300;price;44900;?
3894;price;16000;?
376;location;gautam buddha nagar;?
3767;location;hyderabad;?
2627;kms_driven;27970;?
1015;power;15.0;?
1590;price;68900;?
3033;power;16.7;?
3184;company;Royal-Enfield;?
2293;location;delhi;?
2966;owner;first;first
1340;company;Royal-Enfield;?
1459;company;KTM;?
2576;kms_driven;24000;?
2994;power;19.8;?
2114;location;mumbai;?
4011;price;13000;?
412;location;delhi;?
2087;model_year;2019;?
3915;model_year;2011;?
1940;mileage;45.0;?
2336;mileage;25.0;?
3915;mileage;25.0;?
467;owner;first;first
1805;mileage;40.0;?
768;mileage;42.0;?
1637;location;chandigarh;?
3429;mileage;35.0;?
1132;model;Karizma;?
992;company;Yamaha;?
2246;owner;first;first
1072;price;93000;?
1741;kms_driven;16100;?
3324;model;Thunderbird;?
1917;model_year;2017;?
107;mileage;57.0;?
2467;owner;first;first
475;power;19.8;?
4060;kms_driven;18779;?
1665;company;Royal-Enfield;?
3819;price;80000;?
3675;model;Duke;?
1786;mileage;40.0;?
3146;power;24.6;?
3368;location;delhi;?
757;mileage;35.0;?
4054;model_year;2010;?
1660;kms_driven;145000;?
40;model_year;2012;2011
120;owner;first;first
1118;model_year;2016;?
1038;location;delhi;?
336;kms_driven;28000;?
627;owner;first;first
730;price;40000;?
293;kms_driven;25000;?
3874;kms_driven;35243;?
3725;location;mumbai;?
1937;location;rajkot;?
3873;price;47000;?
872;model;Duke;?
495;model;Pulsar;?
3117;price;170000;?
463;owner;first;first
2461;model;Thunderbird;?
3762;model;V12;?
1713;model_year;2018;?
1308;location;delhi;?
128;price;110000;?
1503;model;Duke;?
3523;power;14.3;?
1144;power;16.7;?
378;model;Glamour;?
519;model;Classic;?
3940;price;32000;?
1422;model;Duke;?
204;owner;second;first
2851;model_year;2018;?
2597;price;100000;?
3332;model_year;2016;?
4066;kms_driven;53000;?
2953;kms_driven;9500;?
2745;mileage;63.0;?
2990;price;70000;?
978;mileage;53.0;?
2456;price;195000;?
1846;owner;first;first
1749;model;Pulsar;?
118;power;19.8;?
3750;kms_driven;25000;?
2620;mileage;25.0;?
3050;mileage;40.0;?
4080;owner;first;first
126;location;ahmedabad;?
3705;model_year;2016;?
3299;model;Pulsar;?
1401;mileage;40.0;?
2113;mileage;35.0;?
3586;kms_driven;12500;?
2981;mileage;40.0;?
3959;power;19.0;?
1327;model;Himalayan;?
1656;kms_driven;15000;?
3790;company;Bajaj;?
3628;kms_driven;45000;?
2824;location;faridabad;?
1875;location;chennai;?
4099;owner;first;first
914;owner;first;first
2052;model;Passion;?
1923;model_year;2010;?
755;power;42.9;?
589;model;Bullet;?
2072;model;Classic;?
3678;model_year;2004;?
3922;kms_driven;4900;?
1691;location;bangalore;?
2878;mileage;85.0;?
3306;location;pune;?
273;mileage;40.0;?
69;model;Pulsar;?
2172;location;mumbai;?
652;kms_driven;4578;?
1642;location;bangalore;?
2234;power;19.8;?
2872;price;10000;?
4055;owner;first;first
2303;mileage;57.0;?
472;power;27.2;?
2313;mileage;95.0;?
686;price;53500;?
2206;model_year;2008;?
2467;company;Hero;?
3988;owner;first;first
2004;location;hyderabad;?
3305;price;135000;?
361;mileage;40.0;?
2794;price;520000;?
3553;model;Discover;?
3087;mileage;35.0;?
2867;kms_driven;18626;?
3877;kms_driven;15000;?
2368;kms_driven;14000;?
1970;model;Thunderbird;?
3041;model_year;2012;?
519;power;19.8;?
3592;owner;first;first
309;kms_driven;61000;?
2346;price;130000;?
3251;model;Thunderbird;?
2149;owner;first;first
1223;owner;first;first
3498;model_year;2017;?
2485;owner;first;first
3804;mileage;42.0;?
2137;power;37.73;?
1057;model_year;2016;?
638;owner;first;first
866;company;Royal-Enfield;?
3649;model;Duke;?
717;power;9.0;?
2920;price;49100;?
629;mileage;40.0;?
822;price;20500;?
1381;price;135000;?
1401;company;Suzuki;?
1883;kms_driven;73000;?
3839;price;93000;?
4031;owner;first;first
1733;owner;first;first
2751;owner;first;first
2662;model;Thunderbird;?
3383;price;54000;?
2240;model_year;2020;?
3880;power;7.44;?
2122;location;mumbai;?
1125;owner;first;first
2622;power;20.0;?
1682;power;15.0;?
3676;kms_driven;16500;?
3593;location;noida;?
1265;model;YZF-R15;?
3064;model_year;2018;?
923;company;TVS;?
1894;model;TNT;?
2605;owner;first;first
1195;model_year;2009;?
262;kms_driven;20000;?
308;price;30000;?
3794;company;Harley-Davidson;?
2807;location;ludhiana;?
1770;company;Suzuki;?
999;mileage;37.0;?
3077;mileage;35.0;?
3636;model_year;2015;?
1176;model_year;2015;?
1745;company;Hero;?
3753;owner;first;first
3478;model;V15;?
1974;owner;first;first
2020;location;mumbai;?
3122;model_year;2018;?
964;location;kolkata;?
2486;model;FZ25;?
635;mileage;55.0;?
1216;kms_driven;14000;?
367;mileage;55.0;?
383;power;19.8;?
3909;mileage;40.0;?
3617;owner;first;first
2685;kms_driven;6465;?
2774;model_year;2015;?
568;model_year;2015;?
1223;kms_driven;17500;?
1601;location;mumbai;?
261;model;Discover;?
3976;mileage;42.0;?
2011;location;mumbai;?
3;model_year;2012;2018
3769;company;Royal-Enfield;?
3760;model;Renegade;?
1700;mileage;35.0;?
3262;model_year;2014;?
999;location;kolkata;?
3128;price;48000;?
3846;power;27.2;?
457;price;25500;?
1030;location;mumbai;?
2057;company;Suzuki;?
472;location;chandigarh;?
480;company;Royal-Enfield;?
3424;model;Discover;?
231;mileage;55.0;?
1702;kms_driven;44000;?
2006;kms_driven;1166;?
2472;location;nashik;?
3625;company;Harley-Davidson;?
1961;power;28.16;?
1507;mileage;53.72;?
993;mileage;38.0;?
764;price;88000;?
3767;kms_driven;20112;?
2041;model_year;2017;?
1483;company;Hyosung;?
3947;location;chennai;?
1156;power;9.0;?
836;mileage;40.0;?
22;location;mumbai;?
1668;mileage;55.0;?
2806;location;chennai;?
2487;company;UM;?
2323;mileage;40.0;?
2413;kms_driven;20000;?
758;price;89999;?
2645;model_year;2017;?
3080;price;72000;?
934;price;65000;?
679;model_year;2015;?
1700;owner;first;first
2160;price;95000;?
1055;model;YZF-R3;?
292;model_year;2016;2016
3191;power;19.8;?
3539;mileage;40.0;?
2124;owner;first;first
3315;price;500000;?
4004;kms_driven;7000;?
1155;kms_driven;42500;?
2501;company;UM;?
2085;model;Thunderbird;?
2950;mileage;42.0;?
582;model;Classic;?
605;power;8.2;?
3559;model;Passion;?
1705;company;Royal-Enfield;?
941;mileage;35.0;?
443;model;Pulsar;?
1535;kms_driven;8000;?
2018;company;Hero;?
3015;owner;first;first
3868;owner;first;first
717;company;Hero;?
3970;price;32000;?
709;power;24.6;?
977;price;28500;?
3023;power;14.6;?
1093;model;Classic;?
