Brigitte Bosmans;F;?;166.0;60.0;Belgium;BEL;?;1980;Summer;?;Swimming
Monique Marie Allen;F;16.0;157.0;46.0;Australia;AUS;1988 Summer;?;?;Seoul;Gymnastics
Anthony Stanley Amado;M;25.0;160.0;57.0;United States;?;1988 Summer;1988;Summer;Seoul;?
Dorothe Deuring;F;20.0;?;60.0;Austria;AUT;1988 Summer;?;Summer;Seoul;?
Mohamed Abdul Hamid;?;?;175.0;55.0;Sudan;SUD;2000 Summer;2000;Summer;Sydney;Swimming
Yuliya Anatolyevna Chepalova;F;29.0;164.0;54.0;Russia;RUS;2006 Winter;?;Winter;Torino;Cross Country Skiing
Keston Bledman;M;28.0;180.0;88.0;Trinidad and Tobago;TTO;2016 Summer;2016;Summer;?;Athletics
smail Akay;M;30.0;178.0;61.0;Turkey;TUR;1972 Summer;1972;?;Munich;Athletics
Drissa Diakit;M;19.0;176.0;69.0;Mali;MLI;?;2004;Summer;Athina;Football
Alexi Batista;M;20.0;156.0;66.0;Panama;PAN;1996 Summer;1996;Summer;Atlanta;Weightlifting
Michal D'Almeida;M;24.0;176.0;80.0;France;FRA;2012 Summer;2012;Summer;London;Cycling
Paul Fitzgerald;M;21.0;173.0;56.0;Ireland;IRL;1984 Summer;1984;Summer;Los Angeles;Boxing
Klas Johan Ivan Ola Brunstrm;M;32.0;193.0;89.0;Sweden;SWE;2012 Summer;2012;Summer;London;Tennis
Heinz Bker;M;?;179.0;84.0;Germany;GER;1964 Summer;1964;Summer;Tokyo;Canoeing
Tatiana Chica;F;?;175.0;60.0;Moldova;MDA;2016 Summer;2016;Summer;Rio de Janeiro;Swimming
Gregory Durand;M;24.0;178.0;69.0;France;FRA;2002 Winter;2002;?;Salt Lake City;Short Track Speed Skating
Jason Edward Dunford;M;21.0;183.0;?;Kenya;KEN;2008 Summer;2008;?;Beijing;Swimming
Isaac Botella Prez de Landazabal;M;28.0;161.0;64.0;Spain;ESP;2012 Summer;2012;Summer;London;Gymnastics
Yohan Delattre;M;28.0;?;82.0;France;FRA;1996 Summer;1996;?;Atlanta;Handball
