?;nm0151654;Crouching Tiger Hidden Dragon;2000;255050;?;?
?;?;?;?;?;?;tt1231583
Roscoe Lee Browne;nm0001975;?;?;?;7.3;tt0063748
Matt Walsh;?;The Goods: Live Hard Sell Hard;2009;20837;5.8;?
?;?;The Dirt Bike Kid;?;?;?;?
?;?;What to Expect When You're Expecting;?;?;5.7;?
Julia Ormond;nm0000566;?;?;?;6.1;?
?;nm0861915;?;2009;35314;?;?
Cindy Pickett;nm0681882;?;?;?;?;tt5572232
Glynis Johns;nm0424318;Frieda;?;?;7.0;?
?;?;Tarzan's Secret Treasure;1941;2744;6.6;?
Sid Haig;?;Wonder Women;?;569;?;tt0070926
?;nm0036109;Smoking Nonsmoking;2011;115;5.2;tt0469152
Mason Gamble;?;?;?;189;6.2;?
?;nm0001055;?;?;?;?;?
?;?;?;?;?;5.7;tt4594834
?;nm0080276;?;?;40195;6.0;?
Gillian Jacobs;nm1843026;?;2015;37180;?;?
?;nm0000194;?;2002;?;7.3;?
?;?;Queenie in Love;2001;304;?;tt0285963
Stacy Keach;?;The Killer Inside Me;?;?;6.0;?
Drew Barrymore;?;?;?;70039;?;?
?;?;Sand Castle;2017;?;6.3;?
Mary Steenburgen;nm0005460;?;1995;?;?;?
?;?;?;2012;232;?;?
?;?;?;?;27968;?;tt0062467
John Lynch;nm0001487;Alien Hunter;?;?;5.1;tt0327409
Justin Timberlake;?;?;?;?;?;tt0811138
?;nm0293466;Come Fill the Cup;1951;418;?;tt0043424
?;nm2660424;?;2012;?;?;?
Yan-Kay Crystal Lowe;?;Hot Tub Time Machine;?;?;?;tt1231587
?;?;Terms of Endearment;?;55778;7.4;tt0086425
?;?;?;1999;?;?;tt0143145
George Hamilton;nm0001313;The Godfather: Part III;?;364339;?;tt0099674
Aasif Mandvi;nm0541902;Random Hearts;?;?;5.3;?
J. Smith-Cameron;nm0810397;?;2018;?;6.2;?
Andy Buckley;?;Body Waves;1992;166;3.7;tt0103854
?;?;?;?;?;6.6;?
?;?;?;2016;20410;?;?
?;?;The Hollywood Knights;?;4247;6.3;?
Richard Jaeckel;?;?;1958;2975;?;tt0051866
Boris Karloff;?;Corridors of Blood;?;1821;?;?
Dennis Quaid;?;?;?;?;5.6;?
?;nm1910274;Overlord;?;?;6.6;?
?;?;?;2014;?;5.8;tt1666335
?;nm0101198;?;?;103;?;?
?;?;?;?;5787;?;?
James Cosmo;?;?;2013;7752;4.5;?
?;?;The Appearance;?;?;?;tt6857040
?;nm0000212;?;?;79430;6.4;?
?;?;Bananas;?;?;7.0;?
Malcolm McDowell;?;The Artist;?;?;?;tt1655442
?;nm0000962;?;2004;?;6.6;tt0365190
Sofie Grabol;nm0344894;Pelle the Conqueror;?;10295;?;tt0093713
Karina Arroyave;nm0037410;Adrift in Manhattan;?;1647;5.5;tt0497316
