riga;nome attributo;valore da imputare;valore imputato
2916;rider_name;Pedrosa Dani;Pedrosa Dani
1397;category;MotoGP;?
786;country;ES;ES
388;number;22.0;?
2603;position;1;2
35;position;1;2
2584;rider;2130;2130
344;rider;2055;2055
2260;points;11;?
2372;bike_name;Speed Up;Speed Up
2169;team_name;Monster Yamaha Tech 3;?
2604;country;ES;ES
2147;position;4;5
1190;number;18.0;?
682;number;99.0;?
1480;shortname;INP;?
1081;points;20;?
1917;number;46.0;?
1400;circuit_name;Ricardo Tormo;?
2526;category;Moto2;Moto2
2898;year;2009;?
2170;number;75.0;?
804;team_name;EG 00 Marc VDS;?
1344;circuit_name;Sepang;?
2099;circuit_name;Brno;?
2389;category;Moto3;Moto2
1449;shortname;NED;?
1012;team_name;Repsol Honda Team;?
2826;rider;2015;?
2844;category;MotoGP;MotoGP
561;year;2006;?
2254;points;13;?
102;number;5.0;?
2024;rider;2315;?
2869;bike_name;Yamaha;?
2286;number;97.0;?
2049;bike_name;KTM;?
2014;rider_name;Lorenzo Jorge;Lorenzo Jorge
1591;shortname;VAL;?
2851;category;MotoGP;MotoGP
317;shortname;RSM;?
164;position;4;5
651;year;2020;2020
1406;team_name;Team SUZUKI ECSTAR;?
285;points;13;?
1069;bike_name;Kalex;Kalex
2198;position;2;2
2336;year;2019;?
1000;category;MotoGP;MotoGP
1002;shortname;GER;?
1842;circuit_name;Losail;?
283;category;MotoE;MotoE
57;shortname;QAT;?
912;shortname;SPA;?
1072;rider;2206;?
1465;team_name;Red Bull KTM Ajo;?
2921;category;Moto2;Moto2
358;year;2017;2019
634;points;13;?
914;shortname;NED;?
1063;category;MotoGP;MotoGP
1605;country;IT;IT
1316;number;41.0;?
525;shortname;AUT;?
1996;year;2018;?
2715;year;2005;?
631;team_name;RBA BOE Racing Team;?
1451;rider_name;Pedrosa Dani;?
2948;points;16;?
504;rider_name;Lorenzo Jorge;Lorenzo Jorge
1893;country;GB;GB
1021;bike_name;Honda;Honda
381;team_name;Yamaha Factory Racing;?
1015;rider_name;Faubel Hector;Faubel Hector
1126;shortname;CZE;?
222;category;Moto2;MotoGP
2069;rider;2564;?
446;circuit_name;Sachsenring;?
1677;rider;2563;?
407;year;2005;?
1028;rider_name;Bautista Alvaro;Bautista Alvaro
2941;country;AU;AU
2904;circuit_name;Mugello;?
2780;country;IT;IT
1871;circuit_name;Phillip Island;?
2151;team_name;Movistar Yamaha MotoGP;?
907;team_name;SSM Racing;?
1838;rider_name;Bastianini Enea;Bastianini Enea
23;position;2;2
921;circuit_name;Jerez;?
697;category;250cc;250cc
2822;shortname;CAT;?
1350;shortname;STY;?
62;number;5.0;?
109;team_name;Red Bull KTM 250;?
1882;shortname;MAL;?
1620;circuit_name;Phillip Island;Spielberg
1937;country;ES;ES
2383;shortname;AUS;?
2261;shortname;ARA;?
1348;rider_name;Espargaro Pol;Espargaro Pol
2643;shortname;MAL;?
1511;category;Moto2;125cc
1664;points;25;?
1174;points;25;?
1561;team_name;MB Conveyors - Speed Up;?
2078;bike_name;Kalex;Kalex
2216;rider;2475;?
2138;rider;1752;1752
1698;shortname;CZE;?
2894;points;13;?
952;rider;2093;2093
181;number;19.0;?
196;bike_name;Yamaha;Yamaha
78;bike_name;FTR;Derbi
1096;number;99.0;?
2529;country;JP;JP
2680;circuit_name;Sepang;Sepang
2520;rider_name;Crutchlow Cal;Crutchlow Cal
2084;year;2014;?
1329;number;28.0;?
1203;bike_name;Honda;Honda
1354;position;4;5
410;team_name;Fiat Yamaha Team;?
644;rider_name;Fenati Romano;Fenati Romano
2838;number;22.0;?
2115;position;4;5
250;team_name;Ducati Team;?
1293;rider_name;Binder Brad;Binder Brad
850;bike_name;Ducati;?
1102;year;2014;?
776;shortname;SPA;?
1002;points;11;?
975;country;JP;ES
2913;year;2019;?
1070;points;16;?
1100;category;MotoGP;MotoGP
2708;rider;2094;?
1463;circuit_name;Jerez;?
2312;circuit_name;Brno;?
164;year;2017;?
550;year;2017;?
1165;year;2021;?
416;points;13;?
2926;position;1;2
1330;points;13;?
431;circuit_name;Ricardo Tormo;?
360;rider_name;Marquez Marc;Marquez Marc
460;year;2006;?
1270;bike_name;Energica;Energica
2549;year;2020;?
1936;position;4;5
1995;rider;2032;?
1925;rider;2284;2284
1365;points;11;?
717;category;250cc;250cc
2790;team_name;Pertamina Mandalika SAG Team;?
743;shortname;CAT;?
737;circuit_name;Le Mans;?
571;position;1;2
228;rider;2429;2429
2550;rider;2398;2398
