?;125cc;?;Motegi;2016;Olive Joan;Polaris World;?;?;11;6.0;ES
2008;125cc;?;Motegi;2098;Di Meglio Mike;Ajo Motorsport;Derbi;2;20;63.0;FR
?;125cc;NED;Assen;2338;Salom Luis;RW Racing GP;Aprilia;2;20;39.0;ES
2011;125cc;ITA;Mugello;2330;Zarco Johann;Avant-AirAsia-Ajo;Derbi;2;20;5.0;FR
2013;?;?;Assen;?;?;Estrella Galicia 00;KTM;5;11;12.0;ES
2012;Moto2;VAL;?;2293;?;Team Catalunya Caixa Repsol;?;?;25;93.0;?
?;MotoGP;?;?;2055;Dovizioso Andrea;JiR Team Scot MotoGP;Honda;4;13;4.0;IT
2015;Moto2;CAT;Catalunya;2532;Lowes Sam;Speed Up Racing;?;4;13;22.0;GB
?;Moto2;CZE;Brno;2202;Rabat Tito;EG 00 Marc VDS;Kalex;2;?;1.0;ES
2015;Moto3;ITA;Mugello;2429;Oliveira Miguel;Red Bull KTM Ajo;KTM;1;25;44.0;PT
2006;?;SPA;?;?;Kallio Mika;Red Bull KTM GP 125;?;4;13;36.0;FI
2010;Moto2;INP;Indianapolis;2064;?;JIR Moto2;Motobi;5;?;3.0;?
2016;?;ARG;Rio Hondo;2488;Navarro Jorge;Estrella Galicia 00;Honda;2;?;9.0;ES
?;MotoGP;ITA;?;?;Melandri Marco;?;Honda;5;11;33.0;IT
?;?;FRA;Le Mans;2055;Dovizioso Andrea;?;Ducati;4;13;4.0;IT
2005;MotoGP;VAL;?;1854;Melandri Marco;Movistar Honda MotoGP;Honda;1;25;33.0;IT
2017;MotoGP;VAL;Ricardo Tormo;2015;Pedrosa Dani;Repsol Honda Team;Honda;1;?;26.0;ES
2008;?;GER;Sachsenring;?;Rossi Valentino;Fiat Yamaha Team;Yamaha;2;?;?;IT
2010;MotoGP;CAT;Catalunya;2015;Pedrosa Dani;Repsol Honda Team;Honda;2;?;?;ES
2011;Moto2;INP;Indianapolis;2218;?;HP Tuenti Speed Up;FTR;2;20;44.0;ES
?;Moto2;?;Losail;2553;?;Red Bull KTM Ajo;Kalex;2;?;?;AU
2009;125cc;RSM;?;2151;Terol Nicolas;Jack & Jones Team;Aprilia;?;20;18.0;?
2007;125cc;?;Istanbul;2004;Talmacsi Gabor;?;Aprilia;5;?;14.0;HU
2018;Moto3;MAL;Sepang;?;Arenas Albert;Angel Nieto Team Moto3;KTM;4;13;75.0;?
2013;Moto2;SPA;Jerez;2151;Terol Nicolas;?;Suter;5;11;18.0;ES
2013;MotoGP;NED;Assen;2425;Crutchlow Cal;Monster Yamaha Tech 3;Yamaha;?;16;35.0;GB
2011;MotoGP;?;Mugello;2055;Dovizioso Andrea;Repsol Honda Team;Honda;2;20;4.0;IT
2016;Moto2;?;Phillip Island;2502;?;Forward Team;?;4;13;7.0;IT
2015;Moto2;?;?;2315;Folger Jonas;AGR Team;?;2;20;?;DE
2020;Moto2;AUT;?;?;Vierge Xavi;Petronas Sprinta Racing;Kalex;?;11;97.0;ES
2018;MotoGP;AME;Texas;2158;Iannone Andrea;Team SUZUKI ECSTAR;Suzuki;3;16;29.0;IT
2018;?;CZE;Brno;?;Marini Luca;SKY Racing Team VR46;Kalex;2;20;10.0;?
2020;Moto3;ANC;Jerez;2566;Suzuki Tatsuki;SIC58 Squadra Corse;Honda;1;?;?;JP
2019;Moto2;AUT;Spielberg;?;Navarro Jorge;Beta Tools Speed Up;Speed Up;3;16;?;ES
2013;Moto2;FRA;Le Mans;?;Zarco Johann;Came Iodaracing Project;?;5;11;5.0;FR
2005;125cc;MAL;Sepang;?;Talmacsi Gabor;Red Bull KTM GP125;?;5;11;14.0;HU
2018;Moto3;AUS;Phillip Island;2650;Vietti Celestino;SKY Racing Team VR46;KTM;3;?;?;IT
2010;?;MAL;Sepang;?;Lorenzo Jorge;Fiat Yamaha Team;Yamaha;3;16;99.0;ES
?;MotoGP;AUS;Phillip Island;2058;?;Fiat Yamaha Team;Yamaha;4;13;48.0;ES
2007;?;TUR;Istanbul;2055;Dovizioso Andrea;?;Honda;1;?;34.0;IT
2013;Moto3;CZE;?;?;Vinales Maverick;Team Calvo;?;2;20;?;ES
2017;MotoGP;FRA;Le Mans;?;?;Ducati Team;Ducati;4;13;?;?
?;Moto2;FRA;Le Mans;2605;Fernandez Raul;Red Bull KTM Ajo;Kalex;1;?;25.0;ES
?;Moto3;JPN;Motegi;2470;?;?;?;5;11;5.0;IT
2013;?;ITA;Mugello;2471;Rins Alex;?;KTM;2;20;42.0;ES
2011;125cc;?;Losail;2157;Cortese Sandro;Intact-Racing Team Germany;Aprilia;?;20;11.0;DE
2006;MotoGP;JPN;Motegi;1762;Rossi Valentino;Camel Yamaha Team;?;2;?;46.0;IT
2011;MotoGP;?;Indianapolis;?;Lorenzo Jorge;?;Yamaha;4;13;1.0;ES
2007;125cc;POR;Estoril;2016;Olive Joan;?;Aprilia;5;11;6.0;ES
2019;MotoGP;NED;Assen;?;Marquez Marc;Repsol Honda Team;Honda;2;20;93.0;ES
2007;250cc;GER;Sachsenring;2037;Kallio Mika;Red Bull KTM 250;KTM;2;20;36.0;FI
2021;Moto3;?;Mugello;2565;?;Petronas Sprinta Racing;Honda;5;11;40.0;ZA
2007;250cc;ITA;Mugello;1981;?;Master - Mapfre Aspar;Aprilia;2;?;3.0;SM
?;MotoE;AUT;Spielberg;2245;Aegerter Dominique;Dynavolt Intact GP;Energica;3;16;?;CH
2010;125cc;NED;Assen;2157;Cortese Sandro;?;Derbi;5;11;?;DE
2008;125cc;NED;Assen;?;Cortese Sandro;Emmi - Caffe Latte;Aprilia;4;?;11.0;DE
2015;Moto2;GBR;Silverstone;2202;Rabat Tito;EG 00 Marc VDS;?;3;16;1.0;ES
2016;Moto2;?;?;2471;Rins Alex;Paginas Amarillas HP 40;Kalex;2;20;?;ES
2017;MotoGP;ITA;?;2059;?;?;Ducati;5;11;19.0;ES
2014;Moto2;GER;Sachsenring;2202;Rabat Tito;Marc VDS Racing Team;Kalex;4;?;53.0;ES
2014;?;SPA;?;?;Rabat Tito;?;Kalex;4;13;53.0;ES
2006;MotoGP;CZE;Brno;1854;?;Fortuna Honda;Honda;5;?;33.0;IT
2017;?;NED;Assen;?;Pasini Mattia;?;Kalex;4;13;54.0;IT
2008;?;?;Le Mans;?;?;Lotus Aprilia;Aprilia;1;25;6.0;ES
2013;Moto2;ITA;?;2218;?;Tuenti HP 40;Kalex;4;13;40.0;ES
2006;MotoGP;ITA;?;2093;?;Repsol Honda Team;Honda;3;16;69.0;US
?;250cc;MAL;Sepang;2006;Aoyama Hiroshi;Red Bull KTM 250;KTM;2;20;?;?
2011;MotoGP;VAL;Ricardo Tormo;?;Crutchlow Cal;Monster Yamaha Tech 3;?;4;13;35.0;GB
2010;?;INP;Indianapolis;2288;Redding Scott;Marc VDS Racing Team;Suter;3;16;45.0;GB
2010;MotoGP;POR;Estoril;?;?;?;?;3;16;4.0;IT
2011;Moto2;CAT;Catalunya;2152;Espargaro Aleix;Pons HP 40;Pons Kalex;3;?;40.0;ES
2016;MotoGP;?;Motegi;?;?;LCR Honda;Honda;5;11;?;?
2005;125cc;FRA;Le Mans;2075;?;Elit Grand Prix;Honda;1;25;12.0;CH
2007;MotoGP;CZE;Brno;?;?;Ducati Marlboro Team;Ducati;1;25;27.0;AU
2017;Moto2;VAL;Ricardo Tormo;2499;Bagnaia Francesco;SKY Racing Team VR46;Kalex;4;13;?;?
?;?;?;Le Mans;2499;Bagnaia Francesco;?;Mahindra;3;16;?;?
2019;Moto3;?;?;2566;Suzuki Tatsuki;SIC58 Squadra Corse;Honda;4;13;24.0;JP
2011;Moto2;INP;Indianapolis;2206;Smith Bradley;Tech 3 Racing;Tech 3;4;13;38.0;GB
2015;MotoGP;AME;Texas;?;Dovizioso Andrea;Ducati Team;Ducati;2;20;4.0;IT
2017;Moto2;VAL;Ricardo Tormo;2450;Binder Brad;?;KTM;3;16;41.0;?
2013;MotoGP;?;Ricardo Tormo;2293;?;Repsol Honda Team;?;3;16;?;ES
2019;Moto3;?;Le Mans;?;Mcphee John;Petronas Sprinta Racing;?;1;25;17.0;GB
2012;MotoGP;POR;?;2055;Dovizioso Andrea;Monster Yamaha Tech 3;Yamaha;4;?;4.0;IT
2014;?;SPA;Jerez;2315;Folger Jonas;AGR Team;?;?;16;94.0;DE
2012;?;GBR;Silverstone;2032;Stoner Casey;Repsol Honda Team;Honda;2;20;1.0;AU
2016;MotoGP;GER;Sachsenring;2158;Iannone Andrea;?;?;5;11;29.0;IT
2019;MotoGP;QAT;Losail;1762;Rossi Valentino;Monster Energy Yamaha MotoGP;Yamaha;5;11;46.0;IT
2009;125cc;JPN;Motegi;2174;Bradl Stefan;Viessmann Kiefer Racing;Aprilia;?;13;?;DE
2007;125cc;SPA;Jerez;2103;Gadea Sergio;Bancaja Aspar;?;5;11;33.0;?
2007;MotoGP;QAT;?;1854;Melandri Marco;Honda Gresini;Honda;5;?;33.0;?
2021;Moto2;AME;Texas;?;?;American Racing;?;5;?;6.0;US
2006;250cc;TUR;Istanbul;1693;Locatelli Roberto;?;Aprilia;?;13;15.0;IT
2021;Moto2;CAT;Catalunya;2615;Fernandez Augusto;Elf Marc VDS Racing Team;Kalex;5;11;37.0;ES
?;250cc;GER;Sachsenring;1752;Porto Sebastian;Aprilia Aspar 250cc;Aprilia;5;11;19.0;?
2016;?;MAL;Sepang;2315;Folger Jonas;Dynavolt Intact GP;?;3;16;94.0;?
2005;250cc;?;Motegi;2015;Pedrosa Dani;Telefonica Movistar Honda 250cc;Honda;?;20;?;ES
2017;?;AUS;Phillip Island;2485;Raffin Jesko;?;Kalex;4;13;2.0;CH
?;125cc;?;?;2206;?;Bancaja Aspar Team 125cc;Aprilia;3;16;?;GB
2006;250cc;FRA;Le Mans;1981;De Angelis Alex;?;Aprilia;?;11;7.0;?
2009;125cc;AUS;Phillip Island;2206;?;Bancaja Aspar Team 125cc;Aprilia;2;20;38.0;GB
2011;MotoGP;FRA;Le Mans;?;Stoner Casey;Repsol Honda Team;Honda;1;25;27.0;AU
2016;Moto3;AUT;Spielberg;2535;?;Gresini Racing Moto3;Honda;3;16;33.0;IT
2008;125cc;CAT;?;?;Talmacsi Gabor;Bancaja Aspar Team;Aprilia;3;16;1.0;HU
2010;125cc;ARA;Aragon;2218;Espargaro Pol;?;Derbi;1;25;44.0;ES
2010;Moto2;FRA;?;1944;Elias Toni;Gresini Racing Moto2;Moriwaki;1;25;24.0;ES
2017;?;GBR;Silverstone;2425;Crutchlow Cal;LCR Honda;Honda;4;13;35.0;GB
?;Moto2;MAL;Sepang;2174;Bradl Stefan;Viessmann Kiefer Racing;Kalex;2;20;?;?
2021;MotoE;FRA;?;2398;?;Pons Racing 40;Energica;5;?;40.0;ES
2012;MotoGP;?;Sepang;2058;Lorenzo Jorge;Yamaha Factory Racing;Yamaha;?;20;99.0;ES
2017;Moto2;?;?;?;?;Red Bull KTM Ajo;KTM;?;11;44.0;PT
2005;125cc;?;?;2146;Zanetti Lorenzo;Skilled I.S.P.A. Racing Team;Aprilia;?;11;8.0;IT
2009;MotoGP;AUS;?;2032;Stoner Casey;Ducati Marlboro Team;Ducati;1;25;27.0;AU
2020;Moto3;TER;Aragon;2603;?;Red Bull KTM Tech 3;?;?;20;71.0;JP
2006;MotoGP;MAL;Sepang;1588;Gibernau Sete;Ducati Marlboro Team;Ducati;5;11;15.0;ES
2020;Moto2;EMI;Misano;2308;Schrotter Marcel;Liqui Moly Intact GP;?;5;11;23.0;?
2014;MotoGP;GER;?;2158;Iannone Andrea;Pramac Racing;Ducati;5;11;?;IT
2010;Moto2;GER;?;1779;Rolfo Roberto;Italtrans S.T.R.;Suter;3;16;44.0;?
2019;?;?;Sachsenring;2075;Luthi Thomas;Dynavolt Intact GP;Kalex;5;11;12.0;?
2014;MotoGP;?;Silverstone;2015;Pedrosa Dani;?;?;4;13;26.0;ES
?;Moto2;POR;?;1981;De Angelis Alex;?;Motobi;3;16;15.0;SM
2020;?;?;Misano;?;Alcoba Jeremy;K_mmerling Gresini Moto3;Honda;4;13;52.0;ES
?;MotoGP;?;Motegi;2293;Marquez Marc;?;Honda;?;20;?;ES
2005;?;CHN;Shanghai;1752;Porto Sebastian;Aprilia Aspar 250cc;?;5;11;19.0;AR
2020;Moto3;SPA;?;?;Ogura Ai;Honda Team Asia;Honda;2;20;79.0;JP
2015;?;MAL;Sepang;2330;Zarco Johann;Ajo Motorsport;Kalex;1;25;5.0;FR
2016;MotoGP;ITA;Mugello;?;Iannone Andrea;Ducati Team;Ducati;?;16;?;?
?;MotoGP;FRA;Le Mans;2058;Lorenzo Jorge;?;Yamaha;?;?;48.0;?
2018;Moto2;CZE;Brno;2429;Oliveira Miguel;Red Bull KTM Ajo;KTM;1;25;44.0;PT
?;Moto2;?;Losail;2535;Bastianini Enea;Italtrans Racing Team;Kalex;3;16;?;IT
2020;MotoGP;ARA;Aragon;?;Marquez Alex;Repsol Honda Team;Honda;2;20;73.0;?
2016;MotoGP;AUS;Phillip Island;2428;?;Team SUZUKI ECSTAR;Suzuki;3;16;25.0;?
2019;MotoGP;THA;?;2293;Marquez Marc;?;Honda;1;?;93.0;ES
?;125cc;POR;Estoril;2218;Espargaro Pol;?;Derbi;1;25;44.0;ES
2018;Moto3;ARG;?;2567;Bezzecchi Marco;Redox PruestelGP;KTM;1;25;12.0;IT
2013;MotoGP;NED;Assen;2015;?;Repsol Honda Team;Honda;?;13;26.0;ES
2013;Moto2;?;Mugello;2151;Terol Nicolas;Mapfre Aspar Team Moto2;Suter;2;?;18.0;ES
2007;?;FRA;Le Mans;2153;Vermeulen Chris;?;?;1;25;71.0;?
2009;MotoGP;MAL;Sepang;1762;Rossi Valentino;?;Yamaha;?;16;?;IT
2020;Moto2;CAT;Catalunya;?;Navarro Jorge;HDR Heidrun Speed Up;Speed Up;4;13;9.0;ES
?;MotoE;ANC;Jerez;?;Torres Jordi;?;Energica;2;20;40.0;ES
2021;Moto2;SPA;Jerez;2567;Bezzecchi Marco;SKY Racing Team VR46;?;2;20;72.0;IT
2015;Moto3;GBR;Silverstone;2473;Antonelli Niccolo;?;?;?;16;23.0;IT
?;?;CHN;?;2080;Simoncelli Marco;Metis Gilera;?;4;13;58.0;?
2005;?;ITA;Mugello;?;Koyama Tomoyoshi;?;Honda;5;?;71.0;JP
?;?;NED;Assen;?;Fenati Romano;Sterilgarda Max Racing Team;?;3;16;55.0;?
2009;?;CAT;Catalunya;2130;Pasini Mattia;Team Toth Aprilia;Aprilia;4;13;75.0;?
2017;MotoGP;ARA;Aragon;?;Lorenzo Jorge;Ducati Team;Ducati;3;?;?;ES
2008;125cc;MAL;Sepang;2098;Di Meglio Mike;Ajo Motorsport;Derbi;5;11;?;FR
2012;Moto2;NED;Assen;2288;Redding Scott;Marc VDS Racing Team;Kalex;3;16;45.0;?
2007;125cc;FRA;Le Mans;2004;Talmacsi Gabor;Bancaja Aspar;Aprilia;4;13;14.0;HU
2013;MotoGP;MAL;?;2293;?;Repsol Honda Team;Honda;2;20;93.0;ES
?;?;POR;?;?;?;?;I.C.P.;2;20;25.0;IT
2013;MotoGP;FRA;Le Mans;2015;Pedrosa Dani;?;Honda;1;25;26.0;?
2012;Moto2;NED;Assen;2158;Iannone Andrea;Speed Master;?;?;?;29.0;IT
2013;?;?;Jerez;2288;Redding Scott;Marc VDS Racing Team;Kalex;2;20;?;GB
2020;Moto3;STY;Spielberg;2611;Arbolino Tony;?;?;2;20;14.0;IT
2007;?;GER;Sachsenring;?;De Angelis Alex;Master - Mapfre Aspar;Aprilia;?;16;3.0;?
?;125cc;GER;Sachsenring;?;?;?;Aprilia;3;?;25.0;ES
2005;?;CHN;?;2006;Aoyama Hiroshi;Telefonica Movistar Honda 250cc;?;?;16;73.0;?
2005;MotoGP;MAL;Sepang;1647;Checa Carlos;Ducati Marlboro Team;Ducati;3;16;?;?
?;125cc;?;Motegi;1988;Faubel Hector;Bankia Aspar Team 125cc;?;3;16;55.0;?
?;Moto2;EUR;Ricardo Tormo;2564;Martin Jorge;Red Bull KTM Ajo;?;2;20;88.0;ES
2009;250cc;GBR;?;2059;Bautista Alvaro;Mapfre Aspar Team;Aprilia;2;20;19.0;ES
?;Moto2;INP;Indianapolis;2293;Marquez Marc;Team Catalunya Caixa Repsol;Suter;?;?;93.0;ES
2014;?;?;Sepang;2037;?;Marc VDS Racing Team;Kalex;2;20;?;FI
2018;MotoGP;RSM;Misano;2471;Rins Alex;Team SUZUKI ECSTAR;Suzuki;4;13;42.0;ES
2019;Moto2;CZE;?;?;Di Giannantonio Fabio;Beta Tools Speed Up;Speed Up;?;20;21.0;IT
2017;Moto3;NED;Assen;2470;Fenati Romano;?;Honda;2;20;5.0;?
?;?;?;Losail;?;Martin Jorge;Del Conca Gresini Moto3;Honda;3;16;88.0;ES
2021;?;CAT;Catalunya;2429;?;Red Bull KTM Factory Racing;KTM;1;?;88.0;PT
2009;250cc;?;?;2098;?;?;Aprilia;5;11;63.0;FR
2013;Moto3;CZE;Brno;?;?;?;KTM;5;?;12.0;ES
?;MotoGP;JPN;Motegi;2055;Dovizioso Andrea;?;Ducati;5;11;4.0;IT
2020;?;FRA;Le Mans;2475;Marquez Alex;Repsol Honda Team;Honda;2;20;73.0;ES
2005;?;FRA;Le Mans;1588;Gibernau Sete;?;?;?;20;15.0;ES
2018;Moto3;?;Losail;2473;Antonelli Niccolo;SIC58 Squadra Corse;Honda;?;?;?;IT
2019;MotoGP;ARG;Rio Hondo;2055;?;Mission Winnow Ducati;?;3;16;4.0;?
2014;Moto3;GBR;Silverstone;2535;Bastianini Enea;Junior Team GO&FUN Moto3;KTM;?;16;33.0;IT
?;MotoGP;GER;Sachsenring;2293;?;Repsol Honda Team;Honda;1;25;93.0;ES
