riga;nome attributo;valore da imputare;valore imputato
2819;power;18.1;?
3395;model;FZs;?
666;owner;second;first
897;price;570625;?
1990;power;20.3;?
969;company;Hero;UM
802;location;ahmedabad;?
3774;mileage;43.0;?
285;model;Renegade;?
1549;location;ahmednagar;?
1726;owner;first;first
750;owner;first;first
3733;kms_driven;27000;?
1365;mileage;35.0;?
3612;company;Bajaj;?
3261;company;Hero;?
1194;kms_driven;8800;?
3872;mileage;50.0;65.0
2142;owner;first;first
1725;power;47.0;33.0
1917;power;27.2;42.3
3989;model;RC;?
2200;company;Bajaj;Harley-Davidson
650;model_year;2018;?
665;price;37500;?
278;power;24.2;?
2525;power;14.6;?
2340;kms_driven;134;?
2361;owner;first;first
735;kms_driven;13000;?
1991;power;19.8;28.0
3629;model_year;2018;1991
3428;mileage;35.0;?
918;mileage;40.0;53.0
3737;model_year;2017;2012
1533;company;Harley-Davidson;UM
1142;owner;first;first
1610;company;Royal-Enfield;Harley-Davidson
1219;model_year;2018;2018
1293;mileage;40.0;?
1038;kms_driven;44000;?
1863;price;54300;?
3495;model;Street;?
3631;owner;first;first
1833;model_year;2018;2015
199;price;60800;?
330;mileage;32.0;?
1214;company;Bajaj;UM
3484;price;90000;?
3378;power;19.8;67.2
3162;owner;first;first
3302;price;140000;?
2334;kms_driven;10874;?
1622;price;22000;?
37;location;delhi;?
3574;mileage;38.0;?
1013;power;9.3;9.38
2051;location;delhi;24 pargana
1802;owner;first;first
3218;price;120000;?
1299;company;Royal-Enfield;UM
2862;price;50000;?
728;model_year;2016;2016
413;mileage;40.0;?
4097;owner;first;first
957;owner;first;first
2666;model_year;2017;?
378;company;Hero;UM
1166;location;delhi;?
2360;location;gurgaon;?
3623;kms_driven;2300;?
120;owner;first;first
1890;owner;first;first
994;model_year;2019;2018
3070;model;Avenger;?
2757;company;Hero;?
3979;model_year;2017;1991
2015;price;19500;?
1816;location;faridabad;?
3477;power;17.0;?
692;mileage;62.0;?
698;model_year;2014;2012
3992;power;7.5;?
3438;location;gurgaon;?
277;owner;first;first
4068;power;25.0;28.0
893;power;8.2;?
3334;model_year;2015;2012
3061;power;19.8;?
2097;price;110000;?
841;kms_driven;7700;?
991;power;19.1;77.0
2543;company;Royal-Enfield;Hyosung
1875;location;chennai;?
2373;price;130000;?
3662;location;bangalore;?
2365;kms_driven;3500;?
2583;company;Royal-Enfield;Royal-Enfield
3501;owner;third;first
1644;company;Yamaha;Royal-Enfield
1675;model;Duke;?
3896;mileage;60.0;?
2553;kms_driven;27000;?
2565;owner;first;first
2372;price;170000;?
1889;location;delhi;?
247;location;navi mumbai;?
3170;location;faridabad;?
3110;price;62000;?
2390;kms_driven;16000;?
598;model;Avenger;?
4069;company;Hero;UM
1192;power;14.0;?
194;location;pune;?
3416;model;RC;?
821;owner;first;first
3077;kms_driven;22662;?
2397;owner;first;first
3259;power;9.3;?
1275;price;41400;?
504;owner;first;first
3068;owner;first;first
60;power;16.7;28.0
2409;model;Avenger;?
1493;price;188500;?
623;model;Discover;?
1961;owner;first;first
2673;model_year;2018;2012
530;model;HF;?
804;location;delhi;?
2691;location;bangalore;?
4076;power;19.8;19.8
499;model;Classic;?
660;location;delhi;?
3687;owner;first;first
546;location;delhi;?
3621;location;ghaziabad;?
3915;model;Standard;?
3866;power;19.8;19.0
512;price;93000;?
3245;model_year;2008;2016
1364;mileage;35.0;?
2839;location;gurgaon;?
2554;model;Discover;?
5;model_year;2016;2012
3722;location;jaipur;?
569;price;65000;?
3185;price;27500;?
1700;owner;first;first
40;model_year;2012;2014
3833;mileage;40.0;?
729;power;24.6;28.0
2462;location;noida;?
3026;mileage;65.0;?
756;kms_driven;3649;?
1215;price;119900;?
3765;mileage;65.0;?
3319;company;Hero;?
572;model_year;2014;2011
941;power;19.8;?
2741;power;27.2;28.0
2369;kms_driven;68000;?
1165;model_year;2017;2005
2006;owner;first;first
2927;price;275000;?
1932;mileage;45.0;?
2226;model;Gixxer;?
2827;model_year;2013;1991
2101;power;13.8;?
681;kms_driven;28000;?
3338;model;Classic;?
1029;model;Pulsar;?
3777;price;75000;?
3986;price;185000;?
3602;price;115000;?
446;location;bangalore;?
1650;mileage;45.0;?
4024;model;Thunderbird;Continental
3887;model;Thunderbird;?
2111;power;19.8;77.0
3013;location;visakhapatnam;?
1560;owner;first;first
992;mileage;42.0;?
3641;company;KTM;Hyosung
1862;company;Royal-Enfield;Royal-Enfield
3520;model;YZF-R15;?
75;model;FZ25;Himalayan
1905;company;Bajaj;UM
320;owner;first;first
817;model;Classic;?
1168;owner;first;first
253;mileage;53.0;?
2367;owner;first;first
3318;price;157000;?
3970;location;jaipur;?
2663;price;76000;?
744;location;dehradun;chennai
3789;kms_driven;18095;?
810;model;Classic;?
344;company;Royal-Enfield;Royal-Enfield
1763;location;jaipur;?
2655;model;Thunderbird;?
1200;model_year;2018;2012
2844;owner;first;first
2311;company;Royal-Enfield;?
3105;owner;first;first
207;model_year;2016;2012
3334;owner;first;first
77;mileage;5.0;5.0
2330;price;75000;?
772;company;Royal-Enfield;Royal-Enfield
3607;price;140000;?
3950;model_year;2001;2011
3201;model;Gixxer;?
574;location;mumbai;?
113;mileage;30.0;?
1679;model;Apache;?
3444;owner;first;first
3991;mileage;89.0;?
2751;price;140000;?
203;kms_driven;13230;?
1077;owner;second;first
1353;model_year;2016;2016
1817;model_year;2014;2012
3204;price;50000;?
2613;power;13.0;?
766;kms_driven;8500;?
1846;model;YZF-R15;?
1858;company;Yamaha;Hyosung
239;model_year;2016;2012
44;kms_driven;38000;?
3237;location;hyderabad;?
987;owner;first;first
2217;company;KTM;?
2132;company;Hero;Hyosung
1009;model;V15;?
3104;power;9.0;?
