riga;nome attributo;valore da imputare;valore imputato
801;temp;19.6;19.7
2866;co;0.0049;?
596;humidity;75.3;?
748;co;0.005;0.005
163;smoke;0.019;0.02
2534;co;0.005;?
511;lpg;0.0077;0.0077
125;humidity;76.2;?
1265;lpg;0.0078;0.0077
783;smoke;0.021;0.02
1559;motion;0;0
648;lpg;0.006999999999999999;0.0077
1233;humidity;75.9;?
425;motion;0;0
2546;temp;19.8;19.7
1410;co;0.0042;?
1554;light;1;?
184;lpg;0.0077;0.0077
2240;temp;26.8;27.0
2450;light;0;?
2837;humidity;76.8;?
29;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
1924;humidity;49.9;?
2976;temp;22.7;22.7
1429;temp;22.7;22.7
1201;smoke;0.021;0.02
2800;light;0;0
310;humidity;49.5;?
2327;light;1;?
1856;temp;19.6;19.7
989;motion;0;0
1098;lpg;0.0077;0.0077
2890;motion;0;0
1279;co;0.005;0.005
848;humidity;77.9;?
41;motion;0;0
1624;temp;19.8;19.7
990;light;1;1
2725;device;00:0f:00:70:91:0a;?
381;temp;19.6;19.7
451;smoke;0.013000000000000001;0.013000000000000001
479;humidity;48.8;?
2088;humidity;75.6;?
2512;motion;0;0
1088;light;0;0
1972;device;00:0f:00:70:91:0a;?
2367;motion;0;0
1118;light;0;?
2239;motion;0;0
1676;motion;0;0
1913;smoke;0.021;0.02
1327;smoke;0.021;0.02
2848;temp;22.6;22.7
262;temp;19.7;19.7
2249;device;00:0f:00:70:91:0a;?
2617;motion;0;0
1070;humidity;76.2;?
731;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
1098;light;0;0
1521;motion;0;0
624;lpg;0.0077;0.0077
896;light;0;?
516;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
675;temp;27.0;27.0
2634;motion;0;0
2169;humidity;51.1;?
237;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
1669;lpg;0.0068;?
2888;lpg;0.0076;?
1591;smoke;0.018000000000000002;?
2833;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
872;smoke;0.013000000000000001;?
972;smoke;0.018000000000000002;0.02
915;motion;0;0
2523;smoke;0.02;?
1374;lpg;0.0048;?
2370;light;1;1
2296;humidity;51.3;?
2584;temp;26.8;1.3
652;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
1698;temp;19.7;19.7
2876;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2186;co;0.005;0.005
2137;light;0;?
1014;co;0.005;0.005
2126;humidity;77.6;?
83;humidity;76.0;?
1397;device;1c:bf:ce:15:ec:4d;?
1335;co;0.005;0.005
1785;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
1077;temp;19.7;19.7
915;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
1467;humidity;51.2;?
344;motion;0;0
960;humidity;76.0;?
86;smoke;0.02;0.02
2698;device;00:0f:00:70:91:0a;?
2391;co;0.0043;?
1740;smoke;0.018000000000000002;?
839;lpg;0.0069;0.0077
460;temp;22.1;22.7
1480;light;0;0
1626;humidity;77.8;?
2181;smoke;0.02;0.02
332;temp;27.0;27.0
883;humidity;51.1;?
1302;light;1;?
2938;motion;0;0
2407;light;1;?
2099;temp;22.3;22.7
431;temp;22.2;22.7
1789;humidity;49.0;?
1805;light;1;?
1872;motion;0;0
1421;device;00:0f:00:70:91:0a;?
2274;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2695;co;0.005;?
2535;smoke;0.018000000000000002;?
2370;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
35;light;0;0
1726;temp;22.4;22.7
2939;lpg;0.0045;?
2834;humidity;76.8;?
2618;light;0;0
2722;lpg;0.0069;?
607;temp;27.0;27.0
2826;lpg;0.0069;?
2060;motion;0;0
792;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
1705;light;0;?
2739;humidity;76.5;?
1103;smoke;0.012;?
2986;light;1;?
1161;motion;0;0
1856;lpg;0.0048;0.0051
1796;co;0.0042;?
1883;smoke;0.021;0.02
1791;humidity;74.8;?
2059;smoke;0.012;?
1253;motion;0;0
2592;co;0.005;?
2103;light;0;0
1348;light;1;?
479;temp;22.0;22.7
343;temp;22.4;22.7
2048;smoke;0.021;0.02
2849;light;1;?
2465;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
507;light;0;0
1384;humidity;51.2;?
1750;co;0.0042;?
2755;temp;22.6;22.7
357;co;0.0043;0.005
2191;device;00:0f:00:70:91:0a;?
2839;humidity;51.3;?
140;smoke;0.021;0.02
951;co;0.0044;0.005
337;humidity;49.2;?
2083;humidity;51.2;?
1846;light;0;?
175;motion;0;0
2916;motion;0;0
125;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
1092;temp;26.9;27.0
2178;device;1c:bf:ce:15:ec:4d;?
2555;humidity;51.3;?
797;humidity;51.2;?
1953;motion;0;0
1919;smoke;0.021;0.02
889;temp;22.5;22.7
2965;smoke;0.02;?
115;temp;22.6;22.7
2507;motion;0;0
613;lpg;0.0051;0.0051
2564;light;1;?
2872;humidity;76.5;?
2476;temp;19.7;19.7
2215;light;0;0
166;co;0.0045;0.005
1722;co;0.005;0.005
2985;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
40;lpg;0.006999999999999999;0.0077
1949;humidity;75.3;?
2475;humidity;51.3;?
2772;light;1;?
429;motion;0;0
1635;smoke;0.012;?
849;humidity;51.1;?
767;smoke;0.019;0.02
172;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
1149;co;0.0026;?
787;co;0.0051;0.005
2722;smoke;0.018000000000000002;?
2174;motion;0;0
1641;temp;22.6;22.7
2233;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2763;lpg;0.0068;?
2787;co;0.0043;?
568;co;0.0028;0.0028
1775;humidity;49.0;?
1867;light;0;0
1944;light;1;?
2252;device;1c:bf:ce:15:ec:4d;?
1138;temp;26.9;27.0
2015;co;0.0026;?
2835;smoke;0.02;?
1266;co;0.0026;?
969;smoke;0.018000000000000002;0.02
1980;light;0;0
2157;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2809;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
1228;temp;22.6;22.7
986;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
2679;motion;0;0
2825;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2608;motion;0;0
1610;lpg;0.0068;?
1741;lpg;0.0077;0.0077
293;co;0.0043;0.005
1977;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
1999;light;0;0
1469;temp;22.7;22.7
2537;humidity;51.3;?
2830;co;0.0024;?
1344;motion;0;0
240;temp;27.0;27.0
1403;smoke;0.021;0.02
1225;temp;22.6;22.7
636;co;0.005;0.005
736;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2069;smoke;0.021;0.02
83;lpg;0.0052;0.0051
396;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
992;humidity;51.1;?
1545;temp;22.7;22.7
1403;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2068;light;0;?
55;co;0.005;0.005
139;light;0;0
1024;humidity;51.1;?
465;light;1;1
2324;smoke;0.012;?
1427;humidity;51.1;?
810;lpg;0.0078;0.0077
1867;lpg;0.0077;0.0077
738;humidity;51.1;?
303;temp;22.5;22.7
1212;temp;26.9;27.0
1013;smoke;0.018000000000000002;0.02
373;smoke;0.018000000000000002;0.02
2517;temp;22.6;22.7
781;co;0.0027;0.0028
2648;motion;0;0
2027;lpg;0.0069;?
1622;humidity;77.7;?
2033;temp;22.2;22.7
851;temp;22.5;22.7
236;light;1;1
907;temp;22.5;22.7
1516;smoke;0.013000000000000001;?
1533;co;0.0026;?
1522;co;0.005;0.005
2724;humidity;51.3;?
1519;motion;0;0
1288;co;0.0043;?
580;co;0.0028;0.0028
472;humidity;48.8;?
392;co;0.005;0.005
1463;device;00:0f:00:70:91:0a;?
1326;smoke;0.012;?
902;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
154;humidity;51.0;?
1581;smoke;0.021;0.02
2962;light;0;0
2227;temp;22.5;22.7
2981;smoke;0.012;0.013000000000000001
139;motion;0;0
1192;light;1;?
584;temp;22.2;22.7
2291;humidity;77.9;?
319;motion;0;0
2283;lpg;0.0047;?
979;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
608;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2135;humidity;51.2;?
2598;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2459;lpg;0.0076;0.0077
2849;lpg;0.0067;?
2633;co;0.005;?
218;smoke;0.02;0.02
2482;co;0.0025;?
2943;lpg;0.0076;?
1986;lpg;0.0068;?
2054;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
402;motion;0;0
369;co;0.005;0.005
2844;device;00:0f:00:70:91:0a;?
2469;light;1;?
2624;co;0.005;?
1060;light;0;0
1277;motion;0;0
1683;motion;0;0
1268;light;0;0
1630;temp;26.8;27.0
1350;temp;27.0;27.0
2664;temp;26.7;1.3
2670;co;0.0024;?
1926;motion;0;0
2425;co;0.0025;?
1795;temp;19.6;19.7
1386;smoke;0.021;?
630;motion;0;0
1578;co;0.0026;?
1959;device;1c:bf:ce:15:ec:4d;?
2412;light;0;0
1649;motion;0;0
1599;humidity;51.3;?
1048;temp;26.9;27.0
1669;device;1c:bf:ce:15:ec:4d;?
2356;temp;19.7;19.7
1408;temp;22.6;22.7
575;smoke;0.013000000000000001;0.013000000000000001
579;light;0;0
1584;temp;22.7;22.7
1158;temp;22.6;22.7
498;lpg;0.0051;0.0051
2716;light;0;?
838;smoke;0.021;0.02
2359;light;1;?
108;co;0.0028;0.0028
915;smoke;0.021;0.02
2569;device;00:0f:00:70:91:0a;?
2280;temp;22.5;22.7
626;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
417;lpg;0.0077;0.0077
311;motion;0;0
945;light;1;1
2091;light;0;?
725;humidity;75.7;?
2120;co;0.0041;?
1325;motion;0;0
1079;light;0;0
1740;device;1c:bf:ce:15:ec:4d;?
1525;smoke;0.021;0.02
1670;co;0.0026;?
2281;humidity;77.8;?
1553;device;00:0f:00:70:91:0a;?
2241;lpg;0.0077;0.0077
1901;humidity;49.4;?
597;lpg;0.0077;0.0077
2667;smoke;0.02;?
2879;humidity;76.7;?
1633;device;1c:bf:ce:15:ec:4d;?
2576;lpg;0.0077;?
928;lpg;0.0078;0.0077
631;motion;0;0
893;light;0;0
2575;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
572;co;0.0051;0.005
2017;lpg;0.0068;?
2442;light;0;0
2422;light;0;?
984;humidity;77.6;?
316;motion;0;0
2077;lpg;0.0077;0.0077
1364;temp;7.0;19.7
733;humidity;77.9;?
1277;co;0.0026;?
1887;lpg;0.0069;?
290;humidity;75.1;?
589;motion;0;0
2646;lpg;0.0068;?
276;lpg;0.0051;0.0051
1136;motion;0;0
2187;humidity;75.6;?
1593;temp;22.7;22.7
1985;motion;0;0
2842;temp;22.7;22.7
2935;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
419;motion;0;0
812;co;0.0043;0.005
1734;device;00:0f:00:70:91:0a;?
1575;co;0.0026;?
1250;light;0;?
63;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
1196;device;1c:bf:ce:15:ec:4d;?
799;co;0.005;0.005
2295;humidity;76.0;?
188;light;0;0
2953;motion;0;0
1445;lpg;0.0048;?
387;smoke;0.02;0.02
1275;smoke;0.012;?
2181;motion;0;0
1679;light;0;?
1416;motion;0;0
301;temp;22.5;22.7
642;temp;27.0;27.0
1741;smoke;0.02;0.02
164;smoke;0.02;0.02
868;co;0.0027;?
674;humidity;50.8;?
2479;lpg;0.0046;?
2292;humidity;75.9;?
2903;motion;0;0
962;temp;27.0;27.0
2760;light;1;?
1148;temp;22.6;22.7
2363;device;1c:bf:ce:15:ec:4d;?
1767;lpg;0.0077;0.0077
684;smoke;0.021;0.02
2739;smoke;0.012;0.013000000000000001
1565;device;1c:bf:ce:15:ec:4d;?
2601;motion;0;0
2953;humidity;51.3;?
866;motion;0;0
1110;temp;27.0;27.0
859;temp;22.5;22.7
97;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
773;co;0.0028;0.0028
2845;temp;22.6;22.7
8;light;0;0
2566;temp;19.8;19.7
1056;humidity;51.2;?
2752;co;0.0043;?
2687;motion;0;0
2829;smoke;0.02;?
2370;temp;26.8;27.0
1075;humidity;51.2;?
504;temp;27.0;27.0
1643;light;0;0
2309;light;0;0
2070;temp;19.6;19.7
165;smoke;0.013000000000000001;0.013000000000000001
2386;lpg;0.0047;?
387;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
1778;co;0.005;0.005
553;lpg;0.0077;0.0077
1468;lpg;0.0068;?
2586;temp;22.6;22.7
1924;light;0;0
1787;smoke;0.021;0.02
1166;motion;0;0
2385;humidity;51.3;?
2721;temp;22.6;22.7
2436;co;0.0042;?
2846;light;0;0
2488;temp;22.6;22.7
1824;light;0;0
1828;lpg;0.0048;?
2717;co;0.005;?
155;humidity;77.9;?
554;humidity;78.2;?
512;temp;22.0;22.7
2118;humidity;51.2;?
2095;temp;26.9;27.0
469;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
71;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
204;motion;0;0
123;co;0.0044;0.005
1436;motion;0;0
2791;lpg;0.0068;?
31;light;0;0
944;temp;19.6;19.7
2352;smoke;0.012;?
628;co;0.0028;0.0028
223;motion;0;0
2145;motion;0;0
2962;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2890;device;00:0f:00:70:91:0a;?
2319;humidity;77.5;?
1107;smoke;0.021;0.02
389;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
69;temp;27.0;27.0
1923;light;1;?
1573;temp;26.9;27.0
367;lpg;0.0077;0.0077
258;motion;0;0
937;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
546;light;0;0
2202;temp;19.6;19.7
2532;smoke;0.012;?
1641;motion;0;0
2356;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
1665;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
1476;smoke;0.018000000000000002;?
1706;lpg;0.0077;0.0077
266;smoke;0.021;0.02
2515;lpg;0.0077;?
2518;smoke;0.012;0.013000000000000001
1611;co;0.005;0.005
1673;device;1c:bf:ce:15:ec:4d;?
968;motion;0;0
298;lpg;0.0077;0.0077
2679;light;0;?
2370;motion;0;0
809;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
2271;humidity;51.3;?
2838;lpg;0.0045;?
2253;smoke;0.02;0.02
635;light;1;1
2712;motion;0;0
1727;co;0.0026;?
1463;lpg;0.0048;?
180;humidity;76.0;?
2698;light;0;?
961;co;0.0051;0.005
836;lpg;0.006999999999999999;0.0077
116;temp;27.0;27.0
1763;light;0;?
349;smoke;0.02;0.02
1052;motion;0;0
421;lpg;0.0076;0.0077
1444;smoke;0.018000000000000002;?
2357;lpg;0.0077;0.0077
2594;co;0.0025;?
1508;motion;0;0
1704;temp;22.5;22.7
1928;co;0.0026;?
1055;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
2077;temp;22.3;22.7
1370;light;0;0
1123;co;0.0042;0.005
739;motion;0;0
2161;co;0.0043;?
658;light;0;0
704;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
2964;lpg;0.0046;?
603;temp;19.5;19.7
2168;smoke;0.018000000000000002;?
2690;temp;22.6;22.7
1077;motion;0;0
950;smoke;0.021;0.02
1351;smoke;0.021;0.02
305;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2347;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
1796;light;1;?
843;lpg;0.0069;0.0077
2907;device;1c:bf:ce:15:ec:4d;?
771;light;0;0
988;lpg;0.0049;?
2887;temp;26.7;1.3
486;smoke;0.021;0.02
631;co;0.005;0.005
2817;motion;0;0
2875;humidity;76.6;?
1191;temp;22.6;22.7
1866;light;0;0
897;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
989;co;0.0051;0.005
2724;light;0;0
2312;lpg;0.0048;?
2738;temp;26.7;1.3
2697;smoke;0.02;?
1396;smoke;0.021;0.02
2897;humidity;75.9;?
2733;motion;0;0
1594;lpg;0.0069;?
2468;smoke;0.012;?
2702;motion;0;0
601;humidity;77.9;?
978;device;00:0f:00:70:91:0a;?
2068;smoke;0.012;0.013000000000000001
793;humidity;75.4;?
2258;lpg;0.0077;0.0077
2274;lpg;0.0077;0.0077
2766;temp;22.6;22.7
2983;co;0.0049;?
2042;lpg;0.0077;0.0077
960;temp;19.6;19.7
751;motion;0;0
193;co;0.005;0.005
1060;motion;0;0
603;lpg;0.0051;0.0051
2956;smoke;0.02;?
761;co;0.0044;0.005
2194;humidity;75.6;?
1437;humidity;76.5;?
1074;temp;26.9;27.0
2768;smoke;0.02;?
1104;light;0;0
695;smoke;0.021;0.02
1195;light;0;0
2680;light;0;0
205;lpg;0.0077;0.0077
421;light;0;0
2610;temp;26.7;1.3
2742;lpg;0.0077;?
1857;humidity;77.9;?
1440;light;0;?
177;co;0.0028;0.0028
1895;light;0;0
1335;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2727;device;1c:bf:ce:15:ec:4d;?
419;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
920;temp;27.0;27.0
379;co;0.0043;0.005
1320;motion;0;0
2191;light;0;?
322;lpg;0.0051;0.0051
1692;humidity;77.8;?
2228;temp;22.5;22.7
1628;co;0.0026;?
2150;temp;22.4;22.7
2778;lpg;0.0076;?
1974;humidity;77.9;?
2715;smoke;0.02;?
