003XX N CENTRAL AVE;1330;CRIMINAL TRESPASS;?;APARTMENT;1;?;?;?;25.0
?;031A;ROBBERY;?;?;?;?;15.0;?;25.0
045XX S ROCKWELL ST;0810;?;OVER $500;VEHICLE NON-COMMERCIAL;0;0;9.0;12.0;58.0
?;2825;OTHER OFFENSE;HARASSMENT BY TELEPHONE;?;0;0;11.0;?;27.0
?;0486;BATTERY;DOMESTIC BATTERY SIMPLE;STREET;?;1;?;27.0;28.0
063XX W BELMONT AVE;0460;BATTERY;?;ALLEY;0;0;16.0;36.0;17.0
0000X E 74TH ST;4651;OTHER OFFENSE;SEX OFFENDER: FAIL REG NEW ADD;?;0;0;?;6.0;69.0
010XX E 73RD ST;?;CRIMINAL DAMAGE;TO PROPERTY;APARTMENT;0;1;?;5.0;69.0
?;?;OTHER OFFENSE;HARASSMENT BY ELECTRONIC MEANS;RESIDENCE;0;?;5.0;34.0;53.0
?;2023;NARCOTICS;?;STREET;1;0;22.0;21.0;73.0
004XX S STATE ST;0810;?;?;LIBRARY;0;0;1.0;2.0;32.0
096XX S CARPENTER ST;?;WEAPONS VIOLATION;UNLAWFUL POSS OTHER FIREARM;STREET;1;0;22.0;?;73.0
010XX S HAMILTON AVE;0460;?;SIMPLE;?;0;0;12.0;?;28.0
014XX W DIVISION ST;?;DECEPTIVE PRACTICE;CREDIT CARD FRAUD;PARKING LOT/GARAGE(NON.RESID.);0;0;14.0;1.0;24.0
083XX S ASHLAND AVE;?;CRIMINAL DAMAGE;TO PROPERTY;RESTAURANT;?;?;?;?;71.0
?;1330;CRIMINAL TRESPASS;TO LAND;RESIDENTIAL YARD (FRONT/BACK);0;?;?;?;?
?;031A;?;ARMED: HANDGUN;?;0;0;4.0;8.0;48.0
004XX S CLINTON ST;0810;THEFT;OVER $500;?;0;0;?;2.0;28.0
004XX N STATE ST;0870;?;POCKET-PICKING;?;?;?;18.0;42.0;8.0
?;1320;CRIMINAL DAMAGE;?;PARKING LOT/GARAGE(NON.RESID.);0;0;1.0;?;?
?;0560;?;SIMPLE;VEHICLE NON-COMMERCIAL;1;?;15.0;?;25.0
?;0560;ASSAULT;?;STREET;?;0;4.0;7.0;48.0
073XX S COLES AVE;0486;BATTERY;?;?;0;1;3.0;7.0;43.0
056XX W BLOOMINGDALE AVE;0810;THEFT;OVER $500;PARKING LOT/GARAGE(NON.RESID.);0;?;25.0;29.0;?
030XX W HARRISON ST;0820;THEFT;?;STREET;?;?;11.0;28.0;27.0
084XX S DREXEL AVE;2820;?;TELEPHONE THREAT;RESIDENCE;0;1;6.0;8.0;44.0
?;?;?;ARMED: HANDGUN;SIDEWALK;?;0;?;2.0;?
?;0460;BATTERY;SIMPLE;APARTMENT;0;0;?;37.0;25.0
042XX W WALTON ST;0820;THEFT;$500 AND UNDER;RESIDENCE;?;?;11.0;37.0;?
?;0460;BATTERY;SIMPLE;?;?;0;12.0;?;31.0
021XX W COULTER ST;1812;NARCOTICS;POSS: CANNABIS MORE THAN 30GMS;RESIDENCE;1;0;10.0;25.0;31.0
009XX N LA SALLE DR;1150;DECEPTIVE PRACTICE;CREDIT CARD FRAUD;CHURCH/SYNAGOGUE/PLACE OF WORSHIP;?;0;18.0;?;?
012XX N HOMAN AVE;?;BATTERY;SIMPLE;FACTORY/MANUFACTURING BUILDING;0;0;14.0;?;23.0
?;0486;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE;0;1;5.0;9.0;?
?;0460;BATTERY;SIMPLE;RESIDENCE;?;0;24.0;49.0;1.0
?;1130;?;?;BANK;?;0;4.0;10.0;46.0
004XX E 81ST ST;?;OTHER OFFENSE;TELEPHONE THREAT;OTHER;0;1;?;6.0;44.0
050XX N WINTHROP AVE;0560;ASSAULT;SIMPLE;APARTMENT;0;0;20.0;48.0;3.0
084XX S BUFFALO AVE;031A;ROBBERY;ARMED: HANDGUN;?;?;0;4.0;?;46.0
001XX W 103RD ST;0610;BURGLARY;FORCIBLE ENTRY;TAVERN/LIQUOR STORE;0;0;?;?;?
001XX N ELIZABETH ST;0810;?;OVER $500;STREET;0;0;12.0;?;28.0
044XX N DAMEN AVE;?;?;SIMPLE;OTHER;0;?;?;47.0;4.0
039XX W FOSTER AVE;?;?;?;NURSING HOME/RETIREMENT HOME;0;0;17.0;39.0;?
?;?;?;AGGRAVATED:KNIFE/CUTTING INSTR;RESIDENCE;0;0;25.0;26.0;?
034XX N NAGLE AVE;0810;THEFT;OVER $500;STREET;0;0;?;36.0;17.0
046XX S MICHIGAN AVE;1320;CRIMINAL DAMAGE;TO VEHICLE;PARKING LOT/GARAGE(NON.RESID.);0;?;?;?;38.0
033XX W MAYPOLE AVE;0820;THEFT;$500 AND UNDER;APARTMENT;?;?;11.0;28.0;27.0
022XX N LINCOLN AVE;0820;?;?;SIDEWALK;0;?;18.0;43.0;7.0
039XX N SHERIDAN RD;0820;?;$500 AND UNDER;CTA STATION;0;0;?;?;?
?;0910;MOTOR VEHICLE THEFT;AUTOMOBILE;STREET;0;0;?;40.0;?
100XX S HALSTED ST;?;WEAPONS VIOLATION;UNLAWFUL POSS OF HANDGUN;?;1;0;22.0;?;?
?;2826;?;HARASSMENT BY ELECTRONIC MEANS;?;0;?;?;8.0;44.0
